group	tcpID & section_idx
ground	A95924 37
ground	A95924 39
ground	A95924 41
ground	A95924 41 | 4667
ground	A95924 42
ground	A95924 42 | 4718
ground	A95924 42 | 4739
ground	A95924 43
ground	A95924 44
ground	A95924 46
ground	A91437 1
ground	A91437 3
ground	A91437 6
ground	A91437 7
ground	A91437 9
ground	A91437 10
ground	A91437 11
ground	A91437 11 | 4965
ground	A91437 11 | 5030
ground	A91437 12
ground	A91437 13
ground	A91437 14
ground	A91437 14 | 5104
ground	A91437 14 | 5153
ground	A91437 15
ground	A91437 16
ground	A91437 16 | 5241
ground	A91437 17
ground	A91437 18
ground	A91437 19
ground	A91437 20
ground	A91437 21
ground	A91437 22
ground	A91437 23
ground	A91437 24
ground	A91437 25
ground	A91437 26
ground	A91437 27
ground	A91437 28
ground	A91437 29
ground	A91437 30
ground	A91437 31
ground	A91437 32
ground	A91437 33
ground	A91437 34
ground	A91437 35
ground	A91437 36
ground	A91437 37
ground	A91437 38
ground	A91437 39
ground	A91437 40
ground	A91437 41
ground	A65422 3
ground	A65422 4
ground	A65422 5
ground	A65422 6
ground	A65422 9
ground	A65422 10
ground	A65422 10 | 6167
ground	A65422 10 | 6175
ground	A65422 11
ground	A65422 11 | 6214
ground	A65422 11 | 6242
ground	A65422 12
ground	A65422 13
ground	A65422 14
ground	A65422 15
ground	A65422 16
ground	A65422 16 | 6331
ground	A65422 17
ground	A65422 17 | 6351
ground	A65422 17 | 6366
ground	A65422 17 | 6380
ground	A65422 18
ground	A65422 19
ground	A65422 19 | 6418
ground	A65422 19 | 6440
ground	A65422 20
ground	A65422 21
ground	A65422 23
ground	A65422 24
ground	A65422 25
ground	A65422 26
ground	A65422 27
ground	A65422 28
ground	A65422 29
ground	A65422 30
ground	A65422 30 | 6563
ground	A65422 30 | 6585
ground	A65422 31
ground	A65422 32
ground	A65422 33
ground	A65422 34
ground	A65422 35
ground	A65422 35 | 6714
ground	A65422 35 | 6728
ground	A65422 35 | 6745
ground	A65422 35 | 6754
ground	A65422 35 | 6763
ground	A65422 35 | 6771
ground	A65422 35 | 6778
ground	A65422 36
ground	A65422 42
ground	A65422 43
ground	A65422 44
ground	A65422 45
ground	A65422 46
ground	A65422 47
ground	A65422 48
ground	A42920 4
ground	A42920 5
ground	A42920 6
ground	A42920 7
ground	A42920 7 | 7033
ground	A42920 7 | 7057
ground	A42920 7 | 7089
ground	A42920 7 | 7118
ground	A42920 8
ground	A42920 8 | 7174
ground	A42920 8 | 7212
ground	A42920 8 | 7244
ground	A42920 9
ground	A42920 9 | 7289
ground	A42920 9 | 7315
ground	A42920 9 | 7343
ground	A42920 9 | 7369
ground	A42920 9 | 7395
ground	A42920 9 | 7425
ground	A42920 9 | 7457
ground	A42920 10
ground	A42920 10 | 7515
ground	A42920 10 | 7547
ground	A42920 10 | 7578
ground	A42920 10 | 7613
ground	A42920 10 | 7641
ground	A42920 10 | 7676
ground	A42920 10 | 7701
ground	A42920 11
ground	A42920 11 | 7734
ground	A42920 11 | 7754
ground	A42920 11 | 7797
ground	A42920 11 | 7823
ground	A42920 11 | 7859
ground	A42920 11 | 7898
ground	A42920 11 | 7933
ground	A42920 11 | 7959
ground	A42920 11 | 7990
ground	A42920 11 | 8016
ground	A42920 11 | 8037
ground	A42920 11 | 8063
ground	A42920 11 | 8093
ground	A42920 11 | 8131
ground	A42920 11 | 8166
ground	A42920 11 | 8193
ground	A42920 11 | 8225
ground	A42920 11 | 8243
ground	A42920 12
ground	A42920 12 | 8291
ground	A42920 12 | 8324
ground	A42920 12 | 8357
ground	A42920 12 | 8383
ground	A42920 12 | 8408
ground	A42920 12 | 8438
ground	A42920 12 | 8469
ground	A42920 12 | 8498
ground	A42920 13
ground	A42920 14
ground	A42920 15
ground	A51245 1
ground	A51245 2
ground	A51245 4
ground	A51245 5
ground	A51245 6
ground	A51245 9
ground	A51245 10
ground	A51245 11
ground	A51245 17
ground	A01637 1
ground	A01637 7
ground	A01637 12
ground	A01637 13
ground	A01637 14
ground	A01637 15
ground	A01637 16
ground	A01637 17
ground	A01637 18
ground	A01637 19
ground	A01637 20
ground	A01637 21
ground	A01637 22
ground	A01637 23
ground	A01637 24
ground	A01637 25
ground	A01637 26
ground	A01637 27
ground	A01637 28
ground	A01637 29
ground	A01637 30
ground	A01637 31
ground	A01637 32
ground	A01637 33
ground	A01637 34
ground	A03949 1
ground	A03949 4
ground	A03949 6
ground	A03949 6 | 10629
ground	A03949 7
ground	A03949 8
ground	A03949 8 | 10674
ground	A03949 8 | 10684
ground	A03949 9
ground	A03949 9 | 10703
ground	A03949 10
ground	A03949 10 | 10715
ground	A03949 10 | 10718
ground	A03949 11
ground	A03949 11 | 10725
ground	A03949 11 | 10728
ground	A03949 11 | 10732
ground	A03949 11 | 10736
ground	A03949 12
ground	A03949 12 | 10745
ground	A03949 13
ground	A03949 13 | 10753
ground	A03949 13 | 10754
ground	A03949 14
ground	A03949 14 | 10833
ground	A03949 14 | 10889
ground	A03949 14 | 10997
ground	A03949 14 | 11088
ground	A03949 14 | 11184
ground	A03949 14 | 11227
ground	A03949 15
ground	A03949 22
ground	A03949 24
ground	A03949 24 | 11347
ground	A03949 25
ground	A03949 25 | 11362
ground	A03949 25 | 11367
ground	A03949 28
ground	A03949 29
ground	A03949 30
ground	A03949 31
ground	A03949 33
ground	A03949 33 | 11408
ground	A03949 33 | 11417
ground	A03949 34
ground	A03949 34 | 11432
ground	A03949 34 | 11444
ground	A03949 35
ground	A03949 35 | 11460
ground	A03949 35 | 11469
ground	A03949 35 | 11481
ground	A03949 36
ground	A34471 2
ground	A34471 3
ground	A34471 6
ground	A34471 7
ground	A34471 8
ground	A34471 10
ground	A34471 11
ground	A34471 12
ground	A34471 13
ground	A34471 14
ground	A34471 15
ground	A34471 16
ground	A34471 17
ground	A34471 19
ground	A34471 20
ground	A51319 3
ground	A51319 4
ground	A51319 6
ground	A51319 6 | 11683
ground	A51319 6 | 11722
ground	A51319 6 | 11766
ground	A51319 6 | 11807
ground	A51319 6 | 11846
ground	A51319 6 | 11925
ground	A51319 6 | 11977
ground	A51319 6 | 12035
ground	A51319 7
ground	A51319 7 | 12129
ground	A51319 7 | 12180
ground	A51319 7 | 12220
ground	A51319 7 | 12259
ground	A51319 7 | 12283
ground	A51319 7 | 12345
ground	A51319 7 | 12407
ground	A51319 7 | 12439
ground	A51319 7 | 12470
ground	A51319 7 | 12512
ground	A51319 8
ground	A51319 9
ground	A51319 15
ground	A51319 20
ground	A51319 23
ground	A01638 3
ground	A01638 11
ground	A01638 12
ground	A01638 13
ground	A01638 14
ground	A01638 15
ground	A01638 16
ground	A01638 17
ground	A01638 18
ground	A01638 19
ground	A01638 20
ground	A01638 21
ground	A01638 22
ground	A01638 23
ground	A01638 24
ground	A01638 25
ground	A01638 26
ground	A01638 27
ground	A01638 28
ground	A01638 29
ground	A01638 30
ground	A01638 31
ground	A01638 32
ground	A01638 33
ground	A01638 34
ground	A25460 1
ground	A25460 6
ground	A25460 23
ground	A25460 28
ground	A25460 29
ground	A25460 30
ground	A25460 30 | 14466
ground	A25460 30 | 14478
ground	A25460 30 | 14508
ground	A25460 30 | 14532
ground	A25460 30 | 14561
ground	A25460 30 | 14595
ground	A25460 30 | 14629
ground	A25460 31
ground	A25460 32
ground	A25460 33
ground	A25460 36
ground	A25460 40
ground	A25460 42
ground	A25460 44
ground	A25460 45
ground	A25460 46
ground	A25460 46 | 14794
ground	A25460 48
ground	A25460 49
ground	A25460 50
ground	A25460 50 | 14861
ground	A25460 50 | 14897
ground	A25460 50 | 14915
ground	A25460 51
ground	A25460 55
ground	A25460 56
ground	A25460 57
ground	A25460 59
ground	A25460 62
ground	A25460 63
ground	A25460 67
ground	A25460 68
ground	A25460 69
ground	A25460 70
ground	A25460 73
ground	A25460 75
ground	A25460 78
ground	A25460 79
ground	A25460 82
ground	A25460 86
ground	A25460 90
ground	A25460 92
ground	A25460 93
ground	A25460 96
ground	A25460 97
ground	A25460 101
ground	A25460 107
ground	A25460 109
ground	A25460 113
ground	A25460 118
ground	A25460 121
ground	A25460 122
ground	A25460 126
ground	A25460 128
ground	A25460 129
ground	A25460 132
ground	A25460 134
ground	A25460 137
ground	A25460 139
ground	A25460 141
ground	A25460 142
ground	A25460 146
ground	A25460 147
ground	A25460 148
ground	A25460 149
ground	A25460 150
ground	A25460 151
ground	A25460 152
ground	A25460 156
ground	B27713 2
ground	B27713 2 | 16048
ground	B27713 2 | 16072
ground	B27713 4
ground	B27713 5
ground	B27713 6
ground	B27713 7
ground	B27713 8
ground	B27713 9
ground	B27713 10
ground	B27713 11
ground	B27713 12
ground	B27713 12 | 16334
ground	B27713 13
ground	B27713 14
ground	B27713 15
ground	B27713 16
ground	B27713 17
ground	B27713 18
ground	B27713 19
ground	B27713 19 | 16578
ground	B27713 19 | 16605
ground	B27713 19 | 16628
ground	B27713 20
ground	B27713 20 | 16664
ground	B27713 21
ground	B27713 22
ground	B27713 22 | 16763
ground	B27713 23
ground	B27713 23 | 16806
ground	B27713 23 | 16827
ground	B20831 1
ground	B20831 4
ground	B20831 5
ground	B20831 6
ground	B20831 6 | 16935
ground	B20831 6 | 16962
ground	B20831 6 | 16991
ground	B20831 6 | 17017
ground	B20831 7
ground	B20831 7 | 17062
ground	B20831 7 | 17086
ground	B20831 10
ground	B20831 10 | 17125
ground	B20831 10 | 17137
ground	B20831 10 | 17156
ground	B20831 10 | 17178
ground	A84047 5
ground	A84047 5 | 17216
ground	A84047 5 | 17237
ground	A84047 7
ground	A84047 8
ground	A84047 11
ground	A84047 14
ground	A84047 15
ground	A84047 17
ground	A89737 1
ground	A89737 3
ground	A89737 4
ground	A89737 6
ground	A89737 7
ground	A89737 8
ground	A89737 9
ground	A89737 9 | 17631
ground	A89737 9 | 17653
ground	A89737 9 | 17693
ground	A89737 9 | 17738
ground	A89737 10
ground	A89737 10 | 17815
ground	A89737 10 | 17864
ground	A89737 11
ground	A89737 12
ground	A89737 12 | 17977
ground	A89737 12 | 18023
ground	A89737 13
ground	A89737 13 | 18119
ground	A89737 13 | 18169
ground	A89737 14
ground	A89737 14 | 18252
ground	A89737 14 | 18296
ground	A89737 15
ground	A89737 16
ground	A89737 17
ground	A89737 18
ground	A89737 19
ground	A89737 19 | 18618
ground	A89737 19 | 18663
ground	A89737 20
ground	A89737 20 | 18734
ground	A89737 20 | 18776
ground	A89737 21
ground	A88101 1
ground	A88101 4
ground	A88101 8
ground	A88101 9
ground	A88101 10
ground	A88101 11
ground	A88101 11 | 18951
ground	A88101 12
ground	A88101 13
ground	A88101 14
ground	A88101 16
ground	A88101 16 | 19078
ground	A88101 16 | 19098
ground	A88101 17
ground	A88101 19
ground	A87511 6
ground	A87511 14
ground	A87511 18
ground	A87511 20
ground	A87511 25
ground	A87511 31
ground	A87511 36
ground	A87511 38
ground	A87511 40
ground	A87511 46
ground	A87511 47
ground	A87511 50
ground	A87511 51
ground	A87511 53
ground	A87511 58
ground	A87511 60
ground	A87511 60 | 19511
ground	A87511 61
ground	A87511 64
ground	A87511 66
ground	A87511 68
ground	A87511 71
ground	A87511 77
ground	A87511 78
ground	A87511 79
ground	A87511 84
ground	A87511 87
ground	A87511 93
ground	A85735 3
