tcpID,curr_div_idx,beginning,topic,entities
A14095,7,CHAP. maxim say acknowledgement essence show discourse promise principle spring,limit: 0.5; cause: 0.5; thing: 0.5; god: 0.5; man: 0.5; father: 0.4; reason: 0.35; begin: 0.35; son: 0.35; world: 0.35; make: 0.3; time: 0.2; bound: 0.1; proposition: 0.1,"('first', 'ORDINAL'): 7; ('one', 'CARDINAL'): 6; ('second', 'ORDINAL'): 6; ('two', 'CARDINAL'): 5; ('these day', 'DATE'): 5; ('Aristotle', 'PERSON'): 4; ('Christians', 'NORP'): 3; ('Trinity', 'ORG'): 3; ('third', 'ORDINAL'): 2; ('3', 'CARDINAL'): 2; ('Virginia', 'GPE'): 2; ('english', 'LANGUAGE'): 2; ('three', 'CARDINAL'): 2; ('Entia', 'PRODUCT'): 1; ('Entia', 'PERSON'): 1; ('fini•a', 'ORG'): 1; ('Peripatericks', 'ORG'): 1; ('Plato', 'ORG'): 1; ('it|be', 'PERSON'): 1; ('Heb', 'LOC'): 1; ('11', 'CARDINAL'): 1; ('2', 'CARDINAL'): 1; ('2.', 'CARDINAL'): 1; ('Graeci Theologi', 'ORG'): 1; ('Danaeus', 'PERSON'): 1; ('29', 'CARDINAL'): 1; ('Luceppea', 'PERSON'): 1; ('Epicurea', 'GPE'): 1; ('Democretica', 'GPE'): 1; ('Hurtado', 'GPE'): 1; ('spanish', 'NORP'): 1; ('Philosophiam', 'LOC'): 1; ('metaphisicam', 'PERSON'): 1; ('wolrd', 'GPE'): 1; ('Nabucliodonosor', 'PERSON'): 1; ('Dura', 'PERSON'): 1; ('Rhodes', 'ORG'): 1; ('late year', 'DATE'): 1; ('two and twenty inch', 'QUANTITY'): 1; ('Iames', 'ORG'): 1; ('John smith', 'PERSON'): 1; ('Aeneas', 'PERSON'): 1; ('Noah', 'PERSON'): 1; ('Nub', 'PERSON'): 1; ('13', 'CARDINAL'): 1; ('34', 'DATE'): 1; ('Canaan', 'PERSON'): 1; ('Anak', 'PERSON'): 1; ('Arminian', 'NORP'): 1; ('earth', 'LOC'): 1; ('Zabarell', 'GPE'): 1; ('4.', 'CARDINAL'): 1; ('Heb', 'ORG'): 1; ('Aristotle', 'ORG'): 1"
A14095,11,atheist God world answer God Mal. God change creation preservation,thing: 0.5; god: 0.5; place: 0.5; essence: 0.5; negation: 0.5; self: 0.5; power: 0.45; wit: 0.4; world: 0.3; angel: 0.3; way: 0.3; reason: 0.15; creature: 0.1,"('one', 'CARDINAL'): 6; ('Durand', 'NORP'): 3; ('1', 'CARDINAL'): 3; ('Vorstius', 'PERSON'): 3; ('2', 'CARDINAL'): 2; ('nihil', 'PERSON'): 2; ('egyptian', 'NORP'): 2; ('Aristotle', 'PERSON'): 2; ('Mal', 'PERSON'): 1; ('3. 6', 'CARDINAL'): 1; ('David', 'PERSON'): 1; ('christian', 'NORP'): 1; ('the day', 'DATE'): 1; ('no day', 'DATE'): 1; ('a end of day', 'DATE'): 1; ('a thousand', 'CARDINAL'): 1; ('nihil est', 'PERSON'): 1; ('Tragolaphoi', 'ORG'): 1; ('end of day', 'DATE'): 1; ('it|be •ue', 'PERSON'): 1; ('Christian', 'NORP'): 1; ('Aristotle', 'ORG'): 1; ('Scotus', 'ORG'): 1; ('1.', 'CARDINAL'): 1; ('3.', 'CARDINAL'): 1; ('first', 'ORDINAL'): 1; ('Aegypt', 'GPE'): 1; ('2.', 'CARDINAL'): 1; ('6', 'CARDINAL'): 1; ('37', 'DATE'): 1; ('quoniam sibi', 'PERSON'): 1; ('sufficit ipse', 'PERSON'): 1; ('vacuo', 'GPE'): 1; ('only three', 'CARDINAL'): 1; ('Durand', 'ORG'): 1; ('Trinity', 'ORG'): 1; ('three', 'CARDINAL'): 1"
A14095,11 | 781,contradiction power wisdom essence power wisdom essence place another thing,power: 0.5; place: 0.5; god: 0.3; thing: 0.3; essence: 0.3; say: 0.3; respect: 0.3; plane: 0.2; praesens: 0.2; point: 0.2; pleasure: 0.2; please: 0.2; praesenter: 0.2; philo: 0.2; person: 0.2; body: 0.15; heaven: 0.15; knowledge: 0.1; creature: 0.1; angel: 0.05; self: 0.05; extension: 0.05; operation: 0.05; presence: 0.05; nature: 0.05; way: 0.05; part: 0.05,"('one', 'CARDINAL'): 7; ('Durand', 'NORP'): 4; ('17', 'CARDINAL'): 4; ('1', 'CARDINAL'): 4; ('first', 'ORDINAL'): 3; ('three', 'CARDINAL'): 2; ('3', 'CARDINAL'): 2; ('2.', 'CARDINAL'): 2; ('27.', 'DATE'): 2; ('28', 'CARDINAL'): 2; ('Elishah', 'GPE'): 2; ('two', 'CARDINAL'): 2; ('nec', 'ORG'): 2; ('Vasquez', 'GPE'): 1; ('Vasq', 'PERSON'): 1; ('4.', 'DATE'): 1; ('30', 'CARDINAL'): 1; ('Alexander Halensis', 'PERSON'): 1; ('Bonaventure', 'GPE'): 1; ('cajetan', 'GPE'): 1; ('Albertus', 'ORG'): 1; ('Aegidius', 'ORG'): 1; ('Ricardus , Capreolus', 'WORK_OF_ART'): 1; ('Gabriel', 'PERSON'): 1; ('1.', 'CARDINAL'): 1; ('3.', 'CARDINAL'): 1; ('Arams 2', 'LAW'): 1; ('6', 'CARDINAL'): 1; ('privy chamber', 'ORG'): 1; ('Durand', 'GPE'): 1; ('nisi be intelligat', 'PERSON'): 1; ('112', 'CARDINAL'): 1; ('Austin', 'GPE'): 1; ('loco intelligamus', 'PERSON'): 1; ('quae praesto sunt sensibus', 'ORG'): 1; ('sensibus', 'ORG'): 1; ('Aeneas', 'GPE'): 1; ('Virgil', 'GPE'): 1; ('Venus', 'PERSON'): 1; ('quem quaeriti', 'ORG'): 1; ('Troius Aeneas', 'PERSON'): 1; ('Aquinas', 'PERSON'): 1; ('Aquin', 'GPE'): 1; ('4', 'CARDINAL'): 1; ('Jeremy', 'PERSON'): 1; ('praesensibus corporis', 'ORG'): 1; ('Augustine', 'PERSON'): 1; ('rex', 'ORG'): 1; ('hebrew', 'LANGUAGE'): 1; ('•o', 'NORP'): 1; ('Mal', 'PERSON'): 1; ('3. 6', 'CARDINAL'): 1; ('Iam', 'PERSON'): 1; ('5.', 'CARDINAL'): 1; ('second', 'ORDINAL'): 1; ('Trinity', 'ORG'): 1; ('6.', 'CARDINAL'): 1; ('thousand', 'CARDINAL'): 1; ('Tertullian', 'GPE'): 1; ('Anselme', 'PERSON'): 1; ('Ansesm', 'PERSON'): 1; ('Monolog', 'PERSON'): 1; ('23', 'CARDINAL'): 1; ('37', 'DATE'): 1; ('quando', 'PERSON'): 1; ('durationem', 'PERSON'): 1; ('quando res sunt', 'ORG'): 1; ('ordinem qui', 'PERSON'): 1; ('corporibus', 'ORG'): 1; ('37', 'CARDINAL'): 1; ('differentiae situs', 'PERSON'): 1; ('quae', 'PERSON'): 1; ('continuum', 'ORG'): 1; ('de Angelis', 'PERSON'): 1; ('non sunt albi', 'ORG'): 1"
A14095,11 | 808,difference thing Durand extend thing angel imagination quantity self angel,god: 0.5; place: 0.5; thing: 0.5; point: 0.5; essence: 0.5; quantity: 0.45; centre: 0.35; circumference: 0.35; world: 0.3; way: 0.25; divine: 0.2; discourse: 0.15; sphere: 0.15; angel: 0.15; part: 0.1; nature: 0.05,"('first', 'ORDINAL'): 6; ('second', 'ORDINAL'): 5; ('2', 'CARDINAL'): 4; ('1', 'CARDINAL'): 4; ('Anselme', 'GPE'): 3; ('two', 'CARDINAL'): 3; ('1.', 'CARDINAL'): 3; ('Mendosa', 'GPE'): 3; ('Hurtado', 'GPE'): 3; ('Michael', 'PERSON'): 3; ('Dover', 'GPE'): 3; ('2.', 'CARDINAL'): 2; ('Durand', 'ORG'): 2; ('Durand', 'GPE'): 2; ('Occam', 'PERSON'): 2; ('Gregory', 'ORG'): 1; ('one', 'CARDINAL'): 1; ('7.', 'CARDINAL'): 1; ('19', 'CARDINAL'): 1; ('21', 'CARDINAL'): 1; ('22', 'CARDINAL'): 1; ('23', 'CARDINAL'): 1; ('Barnard', 'GPE'): 1; ('37', 'DATE'): 1; ('quoniam sibi', 'PERSON'): 1; ('sufficit ipse', 'PERSON'): 1; ('Aristotle', 'PERSON'): 1; ('Empedocles', 'GPE'): 1; ('Trismegist', 'NORP'): 1; ('god', 'PERSON'): 1; ('albeit God', 'PERSON'): 1; ('Paul', 'PERSON'): 1; ('more than one', 'CARDINAL'): 1; ('8.', 'CARDINAL'): 1; ('Aristotle and Aquinas', 'ORG'): 1; ('Durand', 'NORP'): 1; ('37', 'CARDINAL'): 1; ('ubique', 'GPE'): 1; ('ita quod infinitas', 'PERSON'): 1; ('de Angelo quod', 'PERSON'): 1; ('spanish', 'NORP'): 1; ('Vniversam Philosoph .', 'PERSON'): 1; ('Lencippaea', 'GPE'): 1; ('Democritica', 'GPE'): 1; ('Oxford', 'GPE'): 1; ('the same day', 'DATE'): 1; ('Jesuit', 'NORP'): 1; ('Austin', 'GPE'): 1; ('Arminian', 'NORP'): 1; ('Satan', 'FAC'): 1; ('Michael mount', 'PERSON'): 1; ('dover', 'GPE'): 1; ('mark withal', 'PERSON'): 1; ('aliud', 'PERSON'): 1; ('totalitur', 'NORP'): 1; ('naturam quantitatis', 'PERSON'): 1; ('Mathematici', 'PERSON'): 1; ('nec mentiuntur', 'ORG'): 1; ('Scaliger', 'ORG'): 1; ('Gabriel Biel', 'PERSON'): 1; ('4', 'CARDINAL'): 1; ('Gabriel', 'PERSON'): 1; ('3', 'CARDINAL'): 1; ('pro eo quod', 'PERSON'): 1"
A14095,11 | 829,matter assertion nominal point wit Gabriel Biel Occam negative way,god: 0.5; thing: 0.5; part: 0.5; quantity: 0.5; point: 0.5; immensity: 0.5; self: 0.45; man: 0.4; power: 0.35; imagination: 0.25; contrary: 0.15; respect: 0.1; course: 0.05; essence: 0.05; extension: 0.05; way: 0.05; place: 0.05; wit: 0.05,"('1', 'CARDINAL'): 3; ('Occam', 'PERSON'): 2; ('second', 'ORDINAL'): 2; ('one', 'CARDINAL'): 2; ('two', 'CARDINAL'): 2; ('1.', 'CARDINAL'): 2; ('2', 'CARDINAL'): 2; ('quando', 'PERSON'): 2; ('Durand', 'ORG'): 2; ('nec', 'ORG'): 2; ('Gabriel Biel', 'PERSON'): 1; ('Cicero', 'ORG'): 1; ('Joan', 'PERSON'): 1; ('Abbas Sphanheimensis', 'PERSON'): 1; ('sacularis sacram theologiam', 'PERSON'): 1; ('sva curiositate', 'ORG'): 1; ('muliti saedari caepit', 'FAC'): 1; ('continuum', 'PERSON'): 1; ('9', 'CARDINAL'): 1; ('Analogum', 'PERSON'): 1; ('putin', 'PERSON'): 1; ('first', 'ORDINAL'): 1; ('nonlatinalphabet', 'GPE'): 1; ('10', 'CARDINAL'): 1; ('40. 27', 'DATE'): 1; ('28', 'CARDINAL'): 1; ('Israel', 'GPE'): 1; ('119', 'CARDINAL'): 1; ('7 8', 'CARDINAL'): 1; ('9 10', 'CARDINAL'): 1; ('37', 'CARDINAL'): 1; ('durationem', 'PERSON'): 1; ('quum non', 'PERSON'): 1; ('ordinem', 'GPE'): 1; ('corporibus', 'ORG'): 1; ('quod libet', 'PERSON'): 1; ('Ibid', 'PERSON'): 1; ('ita quod infinitas', 'PERSON'): 1; ('de Angelo', 'PERSON'): 1; ('loco sinito', 'ORG'): 1; ('quod', 'PERSON'): 1; ('Durand', 'NORP'): 1; ('se', 'GPE'): 1; ('quoniam', 'PERSON'): 1"
A14095,14,CHAP. Viii infinity divine wisdom god knowledge existence power presence,wisdom: 0.5; knowledge: 0.5; god: 0.5; thing: 0.5; man: 0.5; power: 0.5; course: 0.35; father: 0.35; account: 0.3; end: 0.25; manner: 0.25; mother: 0.2; contemplation: 0.15; action: 0.05; divine: 0.05; work: 0.05,"('one', 'CARDINAL'): 6; ('1', 'CARDINAL'): 6; ('first', 'ORDINAL'): 5; ('second', 'ORDINAL'): 4; ('Absalon', 'ORG'): 4; ('christian', 'NORP'): 4; ('Trinity', 'ORG'): 3; ('Achitophel', 'PERSON'): 3; ('two', 'CARDINAL'): 3; ('1.', 'CARDINAL'): 2; ('half', 'CARDINAL'): 2; ('nonlatinalphabet', 'GPE'): 2; ('Ier', 'PERSON'): 2; ('Aristotle', 'PERSON'): 2; ('Hebron', 'GPE'): 2; ('Solomon', 'PERSON'): 2; ('uncouth', 'PERSON'): 1; ('2.', 'CARDINAL'): 1; ('it|be', 'PERSON'): 1; ('Philo', 'PERSON'): 1; ('latin', 'LANGUAGE'): 1; ('Greeke', 'PERSON'): 1; ('Danaeus', 'PERSON'): 1; ('32', 'CARDINAL'): 1; ('Peter', 'PERSON'): 1; ('39', 'CARDINAL'): 1; ('8', 'CARDINAL'): 1; ('3', 'CARDINAL'): 1; ('Gabriell', 'ORG'): 1; ('25', 'CARDINAL'): 1; ('111', 'CARDINAL'): 1; ('herein', 'PERSON'): 1; ('Durand', 'ORG'): 1; ('Scotus', 'ORG'): 1; ('Bassolis , Ferrariensis', 'ORG'): 1; ('Caietan', 'ORG'): 1; ('Aquinas', 'PERSON'): 1; ('3.', 'CARDINAL'): 1; ('Lebanon', 'GPE'): 1; ('egyptian', 'NORP'): 1; ('22', 'CARDINAL'): 1; ('Solomons', 'PERSON'): 1; ('4. 22', 'DATE'): 1; ('Turk', 'PERSON'): 1; ('two hundred', 'CARDINAL'): 1; ('2 Sam', 'PERSON'): 1; ('15. 11', 'DATE'): 1; ('Adoniah', 'ORG'): 1; ('Abishag', 'ORG'): 1; ('Bethsheba', 'GPE'): 1; ('Aristotle', 'ORG'): 1; ('8. 22', 'DATE'): 1; ('Incontinens', 'NORP'): 1; ('sciunt quae recta sunt', 'PERSON'): 1; ('bee', 'ORG'): 1; ('scientia visionis', 'PERSON'): 1; ('4.', 'CARDINAL'): 1; ('finis', 'NORP'): 1; ('nonlatinalphabet nonlatinalphabet Achitophel', 'ORG'): 1; ('Cesar', 'ORG'): 1; ('3. 5', 'CARDINAL'): 1; ('achitophell counsel', 'ORG'): 1; ('Absolom', 'PERSON'): 1; ('David', 'PERSON'): 1; ('Christian', 'NORP'): 1"
A14095,14 | 1356,punishment sin man time inflict sin man Sennacherib blasphemer god,god: 0.5; wisdom: 0.5; thing: 0.5; man: 0.5; decree: 0.5; knowledge: 0.5; sin: 0.45; eternity: 0.35; possibility: 0.35; david: 0.3; absalon: 0.3; reason: 0.1; work: 0.1; world: 0.05,"('David', 'PERSON'): 13; ('two', 'CARDINAL'): 9; ('Absalon', 'ORG'): 8; ('first', 'ORDINAL'): 8; ('Gregory', 'ORG'): 6; ('five', 'CARDINAL'): 5; ('one', 'CARDINAL'): 4; ('second', 'ORDINAL'): 3; ('9', 'CARDINAL'): 3; ('2', 'CARDINAL'): 3; ('Austine', 'PERSON'): 3; ('Israel', 'GPE'): 2; ('Bethsheba', 'GPE'): 2; ('Achitophel', 'GPE'): 2; ('Adam', 'PERSON'): 2; ('three', 'CARDINAL'): 2; ('3.', 'CARDINAL'): 2; ('4.', 'CARDINAL'): 2; ('4', 'CARDINAL'): 2; ('6.', 'CARDINAL'): 2; ('six', 'CARDINAL'): 2; ('5', 'CARDINAL'): 2; ('Achitophel', 'PERSON'): 2; ('those day', 'DATE'): 2; ('Salomon', 'ORG'): 2; ('french', 'NORP'): 2; ('Spaniard', 'NORP'): 2; ('italian', 'NORP'): 2; ('Sennacherib', 'GPE'): 1; ('Davids', 'ORG'): 1; ('Arminius', 'ORG'): 1; ('162', 'CARDINAL'): 1; ('Davids', 'GPE'): 1; ('Davids defil•ng', 'ORG'): 1; ('Davids', 'PERSON'): 1; ('Sennacheribs', 'ORG'): 1; ('Ad•amelech', 'PERSON'): 1; ('Sharezar', 'PRODUCT'): 1; ('Nisroch', 'PERSON'): 1; ('refl•ct', 'PERSON'): 1; ('Aquinas', 'PERSON'): 1; ('Christian', 'NORP'): 1; ('these day', 'DATE'): 1; ('1', 'CARDINAL'): 1; ('10. 12', 'DATE'): 1; ('bee', 'ORG'): 1; ('3', 'CARDINAL'): 1; ('28', 'CARDINAL'): 1; ('26', 'CARDINAL'): 1; ('31', 'CARDINAL'): 1; ('800.', 'QUANTITY'): 1; ('four', 'CARDINAL'): 1; ('damask', 'ORG'): 1; ('holland', 'GPE'): 1; ('Elisabeth', 'PERSON'): 1; ('Hage', 'ORG'): 1; ('England', 'GPE'): 1; ('First', 'ORDINAL'): 1; ('36', 'CARDINAL'): 1; ('35', 'DATE'): 1; ('52', 'CARDINAL'): 1; ('5.', 'CARDINAL'): 1; ('ten', 'CARDINAL'): 1; ('Francis Spierick', 'PERSON'): 1; ('7.', 'CARDINAL'): 1; ('8', 'CARDINAL'): 1; ('Damas', 'PERSON'): 1; ('1. 2', 'CARDINAL'): 1; ('3. 4', 'CARDINAL'): 1; ('6', 'CARDINAL'): 1; ('Spanish', 'NORP'): 1; ('East', 'LOC'): 1; ('1.', 'CARDINAL'): 1; ('2.', 'CARDINAL'): 1; ('8.', 'CARDINAL'): 1; ('four and twenty', 'CARDINAL'): 1; ('twenty', 'CARDINAL'): 1; ('10. twelve', 'CARDINAL'): 1; ('11', 'CARDINAL'): 1; ('Sam 14.', 'PERSON'): 1; ('17', 'CARDINAL'): 1; ('Sam 16', 'PERSON'): 1; ('23', 'CARDINAL'): 1; ('Hushai', 'PERSON'): 1; ('Solomon', 'PERSON'): 1; ('Aegypt', 'GPE'): 1; ('consilijs nostris', 'PERSON'): 1; ('Laconum', 'ORG'): 1; ('parley', 'ORG'): 1; ('Henry', 'PERSON'): 1; ('France', 'GPE'): 1; ('Laurentius de Medici', 'PERSON'): 1; ('Parnassus', 'PERSON'): 1; ('a day or a year', 'DATE'): 1; ('Saint Austine', 'PERSON'): 1; ('Aquinas', 'ORG'): 1; ('scientia visionis', 'PERSON'): 1; ('scientia', 'GPE'): 1"
A14095,14 | 1371,conclusion God man difference express teacher due consider reader identity,knowledge: 0.4; god: 0.4; thing: 0.4; future: 0.4; know: 0.4; foreknowledge: 0.4; man: 0.4; contingent: 0.35; self: 0.35; judgement: 0.2; uncertainty: 0.15; place: 0.1; persian: 0.1; post: 0.1; possibility: 0.1; popery: 0.1; point: 0.1; pleasure: 0.1; pracctise: 0.1; piety: 0.1; party: 0.1; determination: 0.05; continuance: 0.05; truth: 0.05,"('first', 'ORDINAL'): 9; ('second', 'ORDINAL'): 5; ('one', 'CARDINAL'): 4; ('two', 'CARDINAL'): 2; ('god foreknowledge', 'PERSON'): 1; ('Iam. 1. 10', 'DATE'): 1; ('his year', 'DATE'): 1; ('our year', 'DATE'): 1; ('coulds•t', 'ORG'): 1; ('Aevum', 'ORG'): 1; ('many hundred year', 'DATE'): 1; ('this day', 'DATE'): 1; ('nonlatinalphabet', 'GPE'): 1; ('Erastus', 'PERSON'): 1; ('Bellantius Senensis', 'ORG'): 1; ('Savanarola', 'PERSON'): 1; ('english', 'LANGUAGE'): 1; ('Rogers', 'PERSON'): 1; ('England', 'GPE'): 1; ('17', 'CARDINAL'): 1; ('Daniel be', 'PERSON'): 1; ('Theologicall', 'PERSON'): 1; ('11', 'CARDINAL'): 1; ('Jesuit', 'NORP'): 1; ('2.', 'CARDINAL'): 1; ('hind•h', 'ORG'): 1; ('third', 'ORDINAL'): 1"
A14095,16 | 1544,sphere heaven moment stock instant revolution instant part sphere coexistence,god: 0.35; decree: 0.35; thing: 0.35; act: 0.35; foreknowledge: 0.35; contingency: 0.35; man: 0.35; self: 0.35; sphere: 0.3; possibility: 0.15; presence: 0.15; performance: 0.15; persuasion: 0.15; pharaohs: 0.15; phil: 0.15; phrasiologie: 0.15; place: 0.15; poison: 0.15; pope: 0.15; action: 0.1; instant: 0.1; nature: 0.1; world: 0.05; choice: 0.05,"('nonlatinalphabet', 'GPE'): 3; ('second', 'ORDINAL'): 2; ('one', 'CARDINAL'): 1; ('half', 'CARDINAL'): 1; ('8', 'CARDINAL'): 1; ('chapter', 'PERSON'): 1; ('5', 'CARDINAL'): 1; ('96. 97', 'DATE'): 1; ('1.', 'CARDINAL'): 1; ('the day of', 'DATE'): 1; ('Noah', 'PERSON'): 1; ('Sodom', 'ORG'): 1; ('Jesuit', 'NORP'): 1; ('Jesuit', 'ORG'): 1; ('Israel', 'GPE'): 1; ('Jew', 'NORP'): 1; ('2', 'CARDINAL'): 1; ('nihil ponit', 'PERSON'): 1; ('wherein', 'PERSON'): 1; ('Paul', 'PERSON'): 1; ('Phil', 'PERSON'): 1; ('1. 23', 'CARDINAL'): 1"
A14095,17,quality contrary nature maintenance being being Dionys. life life principal,god: 0.5; goodness: 0.5; angel: 0.5; man: 0.5; nature: 0.5; thing: 0.5; cause: 0.4; respect: 0.35; creature: 0.35; knowledge: 0.25; life: 0.2; degree: 0.15; time: 0.15; joy: 0.05; happiness: 0.05; continuance: 0.05,"('three', 'CARDINAL'): 3; ('Aristotle', 'ORG'): 2; ('one', 'CARDINAL'): 2; ('Eph', 'PERSON'): 2; ('Dionys', 'PRODUCT'): 1; ('peri ego', 'PERSON'): 1; ('16', 'CARDINAL'): 1; ('4', 'CARDINAL'): 1; ('one night', 'TIME'): 1; ('Venico', 'GPE'): 1; ('five hundred pound', 'QUANTITY'): 1; ('five', 'CARDINAL'): 1; ('Archimedes', 'PRODUCT'): 1; ('Syracuse', 'GPE'): 1; ('Solomons', 'PERSON'): 1; ('angel', 'PERSON'): 1; ('13', 'CARDINAL'): 1; ('2', 'CARDINAL'): 1; ('3', 'CARDINAL'): 1; ('3. 10', 'CARDINAL'): 1; ('20', 'CARDINAL'): 1; ('Luke', 'PERSON'): 1; ('first', 'ORDINAL'): 1; ('nonlatinalphabet', 'GPE'): 1; ('vitam', 'PERSON'): 1; ('Jesus', 'PERSON'): 1; ('Peter', 'PERSON'): 1; ('Paul', 'PERSON'): 1; ('more than four', 'CARDINAL'): 1"
