subject_heading,frequency
Waltham Abbey (England) --  History.,1
Dogs in literature.,1
Brigands and robbers --  England.,1
Married women --  Conduct of life.,1
"Netherlands --  History --  Wars of Independence, 1556-1648 --  Prophecies.",1
"Greenway, R. --  (Richard) --  Early works to 1800.",1
"Great Britain --  History --  Charles II, 1660-1685 --  Prophecies --  Early works to 1800.",1
Newcastle upon Tyne (England) --  History.,1
Northumberland (England) --  History.,1
Indifferentism (Religion) --  Early works to 1800.,1
Physicians --  England --  Bath (Avon),1
"Vere, Mary, --  Lady, d. 1671.",1
"Bible. --  N.T. --  Corinthians, 1st, XV, 58 --  Sermons.",1
"Cervantes Saavedra, Miguel de, 1547-1616. --  Don Quixote.",1
"Gother, John, d. 1704. --  Primitive fathers no Protestants.",1
"Sabran, Lewis, 1652-1732. --  Sermon preached before the King at Chester on August 28, being the feast of Saint Augustin.",1
"Sabran, Lewis, 1652-1732. --  Letter to a peer of the Church of England.",1
"Sabran, Lewis, 1652-1732. --  Reply of Lewis Sabran of the Society of Jesus to the answer given to his letter written to a peer of the Church of England by a nameless member of the same.",1
Fear of death.,1
"Harman, Thomas, d. 1677?",1
Religious satire.,1
"Wing, Vincent, 1619-1668 --  Early works to 1800.",1
"Bedford, Francis Russell, --  Earl of, 1593-1641.",1
"Manchester, Henry Montagu, --  Earl of, 1563?-1642.",1
"Kirke, Anne, d. 1641.",1
"Kirke, George, d. 1675?",1
"Rudyard, Thomas, d. 1692. --  Libeller characteriz'd by his own hand.",1
Bookkeeping --  Early works to 1800.,1
"Body, Human --  Early works to 1800.",1
"Minnes, Christopher, --  Sir.",1
"Great Britain --  History, Naval.",1
"Sutton, Thomas, 1532-1611.",1
"Charterhouse (London, England)",1
Windsor (England) --  England --  History --  Early works to 1800.,1
"Compton, Henry, 1632-1713.",1
Trials (Offenses against the person),1
Sin --  Sermons --  Early works to 1800.,1
Lawyers.,1
"Canons, fugues, etc.",1
Trials (Bigamy) --  England --  Early works to 1800.,1
"Tarquinius Superbus, Lucius, --  King of Rome, fl. 534-510 B.C. --  Early works to 1800.",1
Lucretia --  Early works to 1800.,1
"Pomfret, John, 1667-1702. --  Choice.",1
"Hammon, George. --  Discovery of the latitude of the loss of the earthly paradise by original sin.",1
"Jeffery, William, 1616-1693. --  Lawfulness of tithes.",1
"Whitefoot, Barbara, d. 1667 --  Early works to 1800.",1
"Warne, Rose, d. 1667.",1
"Bible. --  N.T. --  Luke XV, 30-31 --  Commentaries.",1
Prodigal son (Parable),1
National characteristics.,1
Europe.,1
"London (England) --  Buildings, structures, etc. --  To 1800.",1
"Westminster (London, England) --  Buildings, structures, etc. --  To 1800.",1
"Louis --  XIII, --  King of France, 1601-1643.",1
Venice (Italy) --  Politics and government.,1
Test Act (1675),1
Young women --  Life skills guides --  Early works to 1800.,1
W. S. --  Lying spirit in the mouth of the false prophet --  Controversial literature --  Early works to 1800.,1
Recreation --  Early works to 1800.,1
Physical education and training --  Early works to 1800.,1
Christian art and symbolism.,1
Douglas family.,1
"Whiston, Joseph, d. 1690. --  Infant baptism from heaven, and not of men.",1
Hair --  Early works to 1800.,1
"Body, Human --  Religious aspects.",1
Modesty --  Early works to 1800.,1
May-pole --  England --  Early works to 1800.,1
Clergy --  Training of.,1
Preaching --  Study and teaching --  Early works to 1800.,1
"Wrexham, James, d. 1685?",1
"Bible. --  N.T. --  John V, 35 --  Sermons.",1
"Rushout, John, d. 1648?",1
"Reynolds, Susanna.",1
Treaty of Ryswick 1697 --  Early works to 1800.,1
"Clayton, Robert, --  Sir, 1629-1707.",1
Natural history --  New England --  Pre-Linnean works.,1
"Pole, Reginald, 1500-1558.",1
"Congreve, William, 1670-1729. --  Birth of the muse --  Controversial literature --  Early works to 1800.",1
"Dennis, John. --  Nuptials of Britain's genius and fame --  Controversial literature --  Early works to 1800.",1
"Véron, François, 1575-1649.",1
"Beaufés, Jacques. --  Impietés et sacrileges de Pierre Jarrige --  Controversial literature --  Early works to 1800.",1
"Hildegard, --  Saint, 1098-1179 --  Early works to 1800.",1
"Bible. --  N.T. --  Matthew II, 12 --  Criticism, interpretation, etc.",1
Counter-Reformation --  Controversial literature.,1
"Bible --  Paraphrases, Welsh.",1
"Hayward, Edward, 17th cent, --  Sizes and lengths of rigging for all the states ships and frigats --  Early works to 1800.",1
"Whitehead, George, 1636?-1723. --  Antidote against the venome of The snake in the grass.",1
"Wyeth, Joseph, 1663-1731. --  Primitive Christianity continued in the faith and practice of the people called Quakers.",1
"Bible stories, English.",1
Lampoon --  Early works to 1800.,1
"Newcastle, Margaret Cavendish, --  Duchess of, 1624?-1674.",1
"Science --  Problems, exercises, etx. --  Early works to 1800.",1
"Mathematics --  Problems, exercises, etc. --  Early works to 1800.",1
"Archer, John.",1
Interest rates --  Tables.,1
Real property --  Valuation --  Tables.,1
"Powell, Vavasor, 1617-1670.",1
Baptists --  Clergy --  Biography.,1
"Andrews, Margaret, d. 1680.",1
"Glynne, John, --  Sir, 1603-1666.",1
"Hill, Roger, d. 1667.",1
"Lineall, John.",1
"Callendar, James Livingston, --  Earl of, d. 1674.",1
Orphans --  England.,1
Poor laws --  England.,1
"George, --  Saint, d. 303 --  Legends.",1
Legends --  England.,1
"Petre, Edward, 1631-1699 --  Caricatures and cartoons.",1
Great Britain --  History --  1660-1714 --  Anecdotes,1
Horticulture --  England.,1
Fruit-culture --  England.,1
"Colbatch, John, --  Sir, 1670-1729. --  Relation of a very sudden and extraordinary cure.",1
"Oakes, Urian, 1631-1681.",1
God --  Omnipresence --  Sermons.,1
Presence of God --  Sermons.,1
Congregationalism --  Sermons.,1
Lute --  Instruction and study.,1
Stringed instruments --  Instruction and study.,1
Viols --  Instruction and study.,1
"Cromwell, Oliver, 1599-1658 --  Controversial literature --  Early works to 1800.",1
Hope.,1
"Staunton, Edmund, 1600-1671 --  Early works to 1800.",1
Heraldry --  Italy --  Naples.,1
Naples (Kingdom) --  Kings and rulers.,1
"Story, John, d. 1681.",1
Epitaphs.,1
"Truro, John Roberts, --  Baron.",1
Saving and investment.,1
English language --  Dialects --  England --  Yorkshire.,1
"Dryden, John, 1631-1700 --  Caricatures and cartoons.",1
"Cromwell, Richard, 1626-1712.",1
England and Wales. --  Council of State.,1
"Holcroft, Francis, 1629?-1693 --  Early works to 1800.",1
Anti-clericalism.,1
Virgil. --  Aeneis. --  Liber 2.,1
Virgil. --  Aeneis. --  Liber 7.,1
Witchcraft --  Controversial literature.,1
Spiritual life --  Catholic Church.,1
"Vaughan, Thomas, 1622-1666. --  Anima magica abscondita --  Early works to 1800.",1
"Vaughan, Thomas, 1622-1666. --  Anthroposophia theomagica --  Early works to 1800.",1
"Vaughan, Thomas, 1622-1666. --  Man-mouse taken in a trap --  Early works to 1800.",1
Ecstasy --  Early works to 1800.,1
Church of England --  Clergy --  Correspondence.,1
Plotinus.,1
Hymns --  Texts.,1
Speaking-trumpet.,1
Sound --  Early works to 1800.,1
"Massachusetts --  History --  New Plymouth, 1620-1691.",1
Children --  England --  Early works to 1800.,1
"Etna, Mount (Italy) --  Eruption, 1669.",1
Volcanoes --  Italy.,1
Sicily (Italy) --  History --  15th-18th century.,1
"Mary --  II, --  Queen of England, 1662-1694 --  Death and burial.",1
Sky --  Early works to 1800.,1
Constellations --  Early works to 1800.,1
"Dering, Elizabeth, d. 1640.",1
Burlesques.,1
"Waller, Edmund, 1606-1687. --  Instructions to a painter.",1
Celestial mechanics --  Early works to 1800.,1
"Grafton, Henry Fitzroy, --  Duke of, 1663-1690 --  Early works to 1800.",1
"Great Britain --  Restoration, 1660-1688 --  Early works to 1800.",1
"Player, Thomas, --  Sir, d. 1686.",1
Fire --  England --  Northampton --  History --  17th century.,1
Congregational churches --  Massachusetts --  Sermons.,1
Elections --  Massachusetts --  Sermons.,1
"Sermons, American.",1
"Toland, John, 1670-1722. --  Amyntor.",1
Bible. --  N.T --  Canon.,1
Bible. --  N.T --  History.,1
Reclamation of land --  England.,1
Judgment.,1
Slavery --  Algeria.,1
"Morwent, Charles, 1654 or 5-ca. 1674.",1
Bible --  Translating.,1
"Clarendon, Henry Hyde, --  Earl of, 1638-1709 --  Early works to 1800.",1
"Armstrong, Thomas, --  Sir, 1624?-1684 --  Early works to 1800.",1
"Dixwell, Dorothy.",1
"Dixwell, Basil, --  Sir.",1
Parian chronicle.,1
"Sculpture, Greek.",1
Arundel marbles.,1
Life.,1
Rationalism.,1
"Perkins, Joseph, b. 1658 --  Early works to 1800.",1
"Monmouth, James Scott, --  Duke of, 1649-1685 --  Caricatures and cartoons.",1
"Peters, Elizabeth, 17th cent.",1
English language --  Rhyme.,1
Treaty of Ryswick (1697),1
"Virgil --  Parodies, imitations, etc.",1
Puritans --  Anecdotes.,1
"Bristow, James, d. 1667.",1
England and Wales. --  Sovereign (1685-1688 : James II). --  His Majesties gracious declaration to all his loving subjects for liberty of conscience.,1
Plague --  Religious aspects.,1
Eclipses --  Early works to 1800.,1
"Saumaise, Claude, 1588-1653.",1
Comparative government.,1
Hydrology --  Early works to 1800.,1
Groundwater.,1
Epithets.,1
English language --  Rhyme --  Dictionaries.,1
"Tonge, Ezerel, 1621-1680.",1
"Bedloe, William, 1650-1680.",1
Catholic Church --  Parodies.,1
Pillories.,1
"Devotional literature, Welsh --  Early works to 1800.",1
Hungary --  History --  Early works to 1800.,1
Hungary --  Politics and government --  Early works to 1800.,1
Transylvania (Romania) --  History --  Early works to 1800.,1
Lotteries --  England --  Anecdotes,1
Presbyterianism --  Scotland --  Early works to 1800.,1
"Powis, William Herbert, --  Duke of, 1617-1696.",1
English literature --  Anecdotes,1
"L'Estrange, Roger, --  Sir, 1616-1704. --  L'Estrange no papist.",1
"Gadbury, John, 1627-1704. --  Merlini liberati errata.",1
"Dissenters, Religious --  Scotland --  Early works to 1800.",1
"Quarles, Francis, 1592-1644.",1
"Bible. --  O.T. --  Jeremiah I-V --  Paraphrases, English.",1
"Hobson, Thomas, --  Keeper of Newgate Gaol, Bristol. --  Bristol-narrative: or, A just account of the imprisonment and death of John Thompson, a conventicling-preacher there --  Early works to 1800.",1
"Thompson, John, d. 1675 --  Imprisonment --  Early works to 1800.",1
"Thompson, John, d. 1675 --  Death and burial --  Early works to 1800.",1
"Tutchin, John, 1661?-1707. --  Tribe of Levi.",1
"Ovid, 43 B.C.-17 or 18 A.D. --  Heroides --  Parodies, imitations, etc.",1
Wigs --  Early works to 1800.,1
"Great Britain --  History --  Civil War, 1642-1649 --  Biography.",1
Church buildings --  England --  London.,1
Scotland --  Kings and rulers --  Genealogy.,1
Great Britain --  Politics and government --  1603-1625 --  Early works to 1800.,1
"Great Britain --  History --  Civil War, 1642-1649 --  Chronology.",1
Homer. --  Iliad --  Book 9 --  Anecdotes,1
Homer. --  Odyssey --  Book 9 --  Anecdotes,1
"Leeds, Thomas Osborne, --  Duke of, 1631-1712.",1
Christian ethics --  Anglican authors.,1
"Powell, Walter, b. 1590 or 91. --  Newes for newters --  Early works to 1800.",1
"Colluthus, --  of Lycopolis.",1
Devil turn'd round-head.,1
Bible. --  O.T. --  Genesis XVI --  Sermons.,1
Natural history --  Scotland.,1
Manners and customs in literature.,1
Viols --  Fingering,1
"Weir, Thomas, 1600?-1670.",1
"Hesilrige, Arthur, --  Sir, d. 1661 --  Caricatures and cartoons.",1
Municipal government --  Scotland.,1
Scotland --  Politics and government --  1660-1688.,1
Aberdeen (Scotland) --  History.,1
Armed Forces --  Prayer-books and devotions --  English.,1
"Sleigh, Joseph, d. 1683 --  Early works to 1800.",1
Society of Friends --  Great Britain --  Doctrines.,1
"Bible. --  N.T. --  Epistles of John, 1st, II, 27.",1
"Wild, Robert, 1609-1679 --  Early works to 1800.",1
"Humphrey, --  Duke of Gloucester, 1391-1447.",1
"Athens (Greece) --  Plague, 430 B.C.",1
"Scotland --  History --  War of Independence, 1285-1371 --  Early works to 1800.",1
"Halifax, Charles Montagu, --  Earl of, 1661-1715.",1
"Mackail, Hugh, 1640?-1666.",1
Christian martyrs --  Scotland.,1
Vaulting (Horsemanship),1
"Cranmer, Thomas, 1489-1556.",1
"Wallis, John, 1616-1703 --  Early works to 1800.",1
"Harrington, James, 1611-1677. --  Rota, or, A model of a free-state or equall common-wealth.",1
Rota (Club) --  Anecdotes,1
"Wilson, Thomas, 1601-1653.",1
"Bugg, Francis, 1640-1724? --  De Christiana libertate.",1
City and town life --  Anecdotes,1
"L'Estrange, Roger, --  Sir, 1616-1704. --  Observator in dialogue.",1
Heraclitus ridens.,1
"Shaftesbury, Anthony Ashley Cooper, --  Earl of, 1621-1683 --  Caricatures and cartoons.",1
Military art and science --  History.,1
"Scot, Walter, ca. 1614-ca. 1694 --  Early works to 1800.",1
"Whitehead, George, 1636?-1723. --  Quakers plainness defecting fallacy.",1
Christian life --  Biblical teaching.,1
"Leicester, Philip Sidney, --  Earl of, 1619-1698 --  Early works to 1800.",1
Adamites.,1
"Bible. --  O.T. --  Jeremiah XXXIII, 20-21 --  Sermons.",1
"Bible. --  N.T. --  Matthew XVI, 3 --  Sermons.",1
"Bible. --  N.T. --  Corinthians, 1st, III, 11 --  Sermons.",1
"Bible. --  N.T. --  Acts I, 4 --  Sermons.",1
"Bible. --  O.T. --  Malachi III, 16-17 --  Sermons.",1
"Bible. --  N.T. --  Matthew XI, 7 --  Sermons.",1
"Bible. --  O.T. --  Isaiah II, 18 --  Sermons.",1
Bible --  Meditations.,1
"Baber, John.",1
Poor --  Great Britain.,1
"King Philip's War, 1675-1676 --  Early works to 1800.",1
"Harington of Exton, John Harington, --  Baron, d. 1613 --  Early works to 1800.",1
"Fairfax, William, d. 1621 --  Early works to 1800.",1
"Blake, Robert, 1599-1657.",1
"Cadiz Expedition, 1625 --  Early works to 1800.",1
Wool industry --  Great Britain.,1
Great Britain --  Commercial policy.,1
"Song, English --  Early works to 1800.",1
London (England) --  History --  17th century --  Sources --  Early works to 1800.,1
"Bristol, George Digby, --  Earl of, 1612-1677.",1
"Christian literature, English --  Early works to 1800.",1
Martyrs --  Great Britain.,1
"Taylor, Thomas, 1618-1682.",1
Quaker converts --  England.,1
"Calamy, Benjamin, 1642-1686.",1
Covenants (Church polity) --  Anecdotes,1
Theology --  Miscellanea.,1
"Paulinus, --  of Nola, Saint, ca. 353-431.",1
"Christian literature, Early.",1
Literature --  Translations into English --  Early works to 1800.,1
"Vernon, Caleb, 1653-1665 --  Early works to 1800.",1
Children --  Biography --  Early works to 1800.,1
"Vincent, Humfrey. --  Cobler's end.",1
Coblers sermon.,1
"Bible. --  O.T. --  Isaiah XXX, 33 --  Sermons.",1
"Bible. --  N.T. --  Corinthians, 1st, VII, 35 --  Sermons.",1
God --  Worship and love --  Sermons.,1
"Bible. --  N.T. --  Ephesians IV, 16 --  Commentaries.",1
"Howard of Escrick, William Howard, --  Baron, 1626?-1694 --  Controversial literature --  Early works to 1800.",1
"Melville, Andrew, 1545-1622 --  Early works to 1800.",1
"Bible. --  O.T. --  Ecclesiastes --  Paraphrases, Latin.",1
West Indies --  Discovery and exploration.,1
"Angell, Philemon.",1
"Hicks, Thomas, 17th cent --  Early works to 1800.",1
"Ward, Patience, --  Sir, 1629-1696.",1
"George --  I, --  King of Great Britain, 1660-1727 --  Early works to 1800.",1
"Great Britain --  History --  George I, 1714-1727 --  Early works to 1800.",1
"Jessey, Henry, 1603-1663.",1
"Bridge, William, 1600?-1670.",1
Baptists --  England.,1
Israel (Christian theology),1
Change ringing --  Early works to 1800.,1
Bells.,1
"Bible. --  O.T. --  Genesis XLVII, 29 --  Sermons.",1
"Streater, Robert, 1624-1680 --  Early works to 1800.",1
"Whitehead, Ann, 1624-1686.",1
"Pierepont, Francis, d. 1658.",1
"Lee, Richard, 1611-1684. --  Cor Humiliatum et contritum --  Early works to 1800.",1
Cryptography --  Early works to 1800.,1
"Hull, John, 1624-1683 --  Sermons.",1
Royalists --  England --  History --  17th century --  Religious aspects --  Early works to 1800.,1
"Williams, Gryffith, 1589?-1672.",1
"Bale, John, 1495-1563.",1
"Ayscue, George, --  Sir, fl. 1646-1671.",1
Church of Ireland. --  Diocese of Ossory --  Clergy.,1
Ireland --  Church history.,1
Plague --  Great Britain --  Early works to 1800.,1
"Bible. --  O.T. --  Samuel, 1st, XXX --  Commentaries --  Early works to 1800.",1
"Wilson, William, d. 1682.",1
Religious education --  England --  Early works to 1800.,1
Prisoners --  Great Britain.,1
"Calamy, Edmund, 1600-1666.",1
"Griffin, Lewis. --  Doctrine of the asse.",1
"Shadwell, Thomas, 1642?-1692.",1
Juvenal. --  Satura 1.,1
"Castlemaine, Roger Palmer, --  Earl of, 1634-1705.",1
Great Britain --  Foreign relations --  Italy.,1
Italy --  Foreign relations --  Great Britain.,1
"Bradshaigh, Roger, --  Sir, d. 1684.",1
"Bible. --  O.T. --  Psalms CXII, 6 --  Sermons.",1
English language --  Particles.,1
English language --  Translating into Latin.,1
"Speeches, addresses, etc. --  Early works to 1800.",1
Palaces --  England --  Early works to 1800.,1
"Wotton, Henry, --  Sir, 1568-1639.",1
"Herbert, George, 1593-1633.",1
Hell --  Anecdotes,1
Ale --  Anecdotes,1
Drinking of alcoholic beverages --  Anecdotes,1
Hotels --  England --  Derbyshire --  Anecdotes,1
Bars (Drinking establishments) --  England --  Derbyshire --  Anecdotes,1
Taverns (Inns) --  England --  Derbyshire --  Anecdotes,1
Jamaica.,1
Clover --  Harvesting --  Early works to 1800.,1
Clover as feed --  Early works to 1800.,1
"Bible. --  N.T. --  John XIII, 34-35 --  Sermons.",1
Love --  Religious aspects --  Christianity --  Sermons.,1
Mural painting and decoration --  France --  Paris --  Early works to 1800.,1
"Greene, Robert, 1558?-1592. --  Quip for an upstart courtier.",1
Bible. --  N.T. --  Revelations --  Commentaries --  Early works to 1800.,1
How now my maisters maryed priestes --  Controversial literature --  Early works to 1800.,1
"Mompesson, Giles, --  Sir, 1584-1651?",1
Monopolies --  Great Britain.,1
"Leman, John, --  Sir, 1544-1632.",1
"Graftone, William --  Early works to 1800.",1
"Fables, English.",1
Alphabet --  Early works to 1800.,1
"Welby, Henry, d. 1636.",1
Catholic Church. --  Pope (1623-1644 : Urban VIII) --  Controversial literature --  Early works to 1800.,1
Christian life --  Prestestant authors --  Early works to 1800.,1
Pirates --  England --  Early works to 1800.,1
Theosophy.,1
"Bible. --  N.T. --  Luke XVI, 30-31 --  Sermons.",1
Tobacco --  Controversial literature --  Early works to 1800.,1
Tobacco habit --  Controversial literature --  Early works to 1800.,1
Cheshire (England) --  Genealogy.,1
"Europe, Northern --  Maps.",1
"Bible. --  O.T. --  Psalms XLV --  Paraphrases, English.",1
"Beauty, Personal.",1
"Fabell, Peter, 15th cent.",1
Saxony (Germany) --  History --  Early works to 1800.,1
"Orphans --  England --  London --  Legal status, laws, etc. --  Early works to 1800.",1
Malta --  History --  Early works to 1800.,1
Bible. --  N.T. --  Commentaries --  Early works to 1800.,1
Church of Scotland --  Controversial literature --  Catholic authors --  Early works to 1800.,1
Greek fiction --  Translations into English --  Early works to 1800.,1
Commercial products --  Early works to 1800.,1
"Boorde, Andrew, 1490?-1549 --  Early works to 1800.",1
Card games --  Moral and ethical aspects --  Early works to 1800.,1
Anti-clericalism --  Great Britain --  Early works to 1800.,1
Anti-clericalism --  Great Britain --  17th century --  Early works to 1800.,1
Cleombrotus.,1
"Manasoch, Aldura.",1
Hospitality industry --  Law and legislation --  England --  Early works to 1800.,1
"Philosophy, Medieval --  Early works to 1800.",1
Silkworms --  Virgnina --  Early works to 1800.,1
"Mason, Martin, fl. 1650-1676. --  Boasting Baptist dismounted and the beast disarmed and sorely wounded without any carnal weapon.",1
"Bruce, David.",1
"Frank, John.",1
"Settle, Elkanah, 1648-1724. --  Character of a popish successour --  Controversial literature --  Early works to 1800.",1
Dreams --  Early works to 1800.,1
Fortune-telling by moles.,1
Hot springs --  England --  Bath --  Religious aspects --  Early works to 1800.,1
"Spurstowe, William, 1644 or 5-1654.",1
"Bible. --  N.T. --  Colossians I, 27 --  Sermons.",1
"Whittaker, Jeremiah, 1599-1654 --  Early works to 1800.",1
Ten commandments --  Juvenile literature.,1
"Bowker, James, fl. 1668-1684.",1
"Hart, William, --  Sir, --  moss trooper --  Early works to 1800.",1
Presbyterians --  Controversial literature.,1
Puritans --  Apologetic works --  Early works to 1800.,1
"Language, Universal --  Early works to 1800.",1
"Language, Universal --  Alphabet --  Early works to 1800.",1
"Newark (Nottinghamshire, England) --  History --  Siege, 1643 --  Early works to 1800.",1
Descants.,1
"Berkeley, Robert, --  Sir, 1584-1656 --  Early works to 1800.",1
"Bateman, Roalond, b. 1601.",1
Bible. --  O.T. --  Ecclesiastes. --  English. --  Selections. --  1684.,1
Bible. --  O.T. --  Ecclesiastes. --  Latin. --  Selections. --  1684.,1
Quakers --  Persecutions --  Early works to 1800.,1
"Prisoners --  Legal status, laws, etc. --  England --  Early works to 1800.",1
"Edwards, Thomas, 1599-1647. --  Gangraena --  Early works to 1800.",1
"Preaching --  Legal status, laws, etc. --  Early works to 1800.",1
Gloucester (England) --  Church history --  Early works to 1800.,1
"Cleveland, John, 1613-1658. --  Scots apostacy --  Early works to 1800.",1
"Wilmot, Thomas, 1644 or 5-1699.",1
Chester (England) --  History --  Early works to 1800.,1
Kent (England) --  History --  17th century --  Early works to 1800.,1
"Boddington, James --  Early works to 1800.",1
"Cambell, James, --  Sir, 1570-1642 --  Early works to 1800.",1
"Balzac, Jean-Louis Guez, --  seigneur de, 1597-1654 --  Early works to 1800.",1
Bishops --  Great Britain.,1
Crowns --  Early works to 1800.,1
Queens --  Early works to 1800.,1
"Bridges, John, d. 1618 --  Early works to 1800.",1
"Charles --  X Gustav, --  King of Sweden, 1622-1660 --  Early works to 1800.",1
Sweden --  History --  17th Century --  Early works to 1800.,1
"Bible. --  N.T. --  Hebrews XIII, 17 --  Commentaries.",1
Pastoral theology --  Early works to 1800.,1
Light --  Religious aspects --  Christianity.,1
"Great Britain --  History --  William and Mary, 1689-1702 --  Pamphlets.",1
Moderate intelligencer --  Early works to 1800.,1
Newsletters --  England --  Early works to 1800.,1
"Tyler's Insurrection, 1381 --  Early works to 1800.",1
Love --  Literary collections --  Early works to 1800.,1
"Ashurst, William, --  Sir, 1647-1720.",1
"Cooke, Frances, fl. 1649 --  Early works to 1800.",1
"Great Britain --  History --  Civil War, 1642-1649 --  Pamphlets.",1
"Fowler, Christopher, 1610?-1678 --  Early works to 1800.",1
"Innocent --  X, --  Pope, 1574-1655 --  Early works to 1800.",1
Catholic Church --  Government --  Early works to 1800.,1
Fathers and sons.,1
"Hampden, John, 1584-1643 --  Early works to 1800.",1
Nature --  Religious aspects --  Christianity --  Early works to 1800.,1
"Harris, Robert, 1581-1658 --  Early works to 1800.",1
Psalms --  Early works to 1800.,1
Church of England --  Bishops --  Controversial literature --  Early works to 1800.,1
Bishops --  Temporal power --  Early works to 1800.,1
"Gauden, John, 1605-1662. --  Eikon basilike --  Early works to 1800.",1
Jesuits --  England --  Controversial literature --  Early works to 1800.,1
Arminianism --  Great Britain --  Early works to 1800.,1
Vegetarianism --  Early works to 1800.,1
Vegetarians --  England --  Early works to 1800.,1
Eikōn alēthinē.,1
Pastoral letters and charges.,1
"Hungary --  Turkish occupation, 1526-1699 --  Early works to 1800.",1
Trumpet players --  England --  Early works to 1800.,1
"Colewort, Francis, ca. 1579-1641?.",1
Great Britain --  Politics and government --  1625-1649 --  Sources --  Early works to 1800.,1
Pilgrims (New Plymouth Colony) --  Early works to 1800.,1
"Rhode Island --  History --  Colonial period, ca. 1600-1775 --  Early works to 1800.",1
Greek language --  Study and teaching --  Early works to 1800.,1
"Bible. --  N.T. --  John IX, 4 --  Commentaries --  Early works to 1800.",1
Anti-Catholicism --  Wales --  Early works to 1800.,1
Solemn League and covenant (1643). --  Early works to 1800.,1
"Rich, Robert, 1634-1658 --  Early works to 1800.",1
"Brownrig, Ralph, 1592-1659.",1
"Bible. --  O.T. --  Kings, 2nd II, 12 --  Sermons.",1
Prisons --  Great Britain --  Early works to 1800.,1
"Pendennis Castle (Falmouth, England) --  Siege, 1646 --  Early works to 1800.",1
"Great Britain --  History --  Civil War, 1642-1649. --  Campaigns --  Early works to 1800.",1
"Scilly, Isles of (England) --  History --  Early works to 1800.",1
"Alleyn, Thomas --  Early works to 1800.",1
Congregational churches --  New England --  Early works to 1800.,1
"English essays --  Early modern, 1500-1700 --  Early works to 1800.",1
Religion and state --  England --  Early works to 1800.,1
Freedom of the press --  England --  Early works to 1800.,1
Church of England --  Customs and practices --  Controversial literature --  Early works to 1800.,1
Bishops --  England --  Controversial literature --  Early works to 1800.,1
"Rutton, Matthias, 1612 or 13-1685 --  Early works to 1800.",1
Yates family.,1
"Bible. --  O.T. --  Exodus XXX, 22-37 --  Commentaries.",1
"Kristina, --  Queen of Sweden, 1626-1689 --  Early works to 1800.",1
"Sweden --  History --  Christina, 1632-1654. --  Early works to 1800.",1
"Bright, Edward, --  d. 1656.",1
"Bible. --  O.T. --  Joshua I, 2 --  Sermons.",1
"Vines, Richard, 1600?-1656.",1
"Straw, Jack, d. 1381? --  Early works to 1800.",1
"Tyler, Wat, d. 1381 --  Early works to 1800.",1
Tobacco habit --  Great Britain --  Early works to 1800.,1
Coffee habit --  Great Britain --  Early works to 1800.,1
"Church of England. --  Book of common prayer, --  Controversial literature --  Early works to 1800.",1
"Murat --  II, --  Sultan of the Turks, 1404-1451.",1
"Bakewell, Thomas, b. 1618 or 19, --  attributed name.",1
Church of England --  Controversial literature --  Early works 1800.,1
"Grebner, Paul.",1
"Charles --  I, --  King of England, 1600-1649 --  Prophecies.",1
King's cabinet opened.,1
Ireland.,1
"Loveday, Robert, fl. 1655 --  Correspondence.",1
"Cheapside Cross (London, England) --  History --  Early works to 1800.",1
Jews --  Restoration --  Early works to 1800.,1
Society of Friends --  England --  Apologetic works --  Early works to 1800.,1
Alcoholism --  Religious aspects --  Early works to 1800.,1
"Wortley, Francis, --  Sir, 1591-1652. --  Mercurius Britanicus his welcome to Hell --  Early works to 1800.",1
Sundials --  England --  Early works to 1800.,1
"Marten, Henry, 1602-1680 --  Early works to 1800.",1
"Bible. --  N.T. --  Ephesians V, 15-16 --  Commentaries --  Early works to 1800.",1
Bible. --  N.T. --  Matthew XXV --  Commentaries --  Early works to 1800.,1
"Bible. --  O.T. --  Malachi IV, 2 --  Commentaries --  Early works to 1800.",1
"Bible. --  N.T. --  John VI, 37 --  Commentaries --  Early works to 1800.",1
"Inchiquin, Murrough O'Brien, --  Earl of, 1614-1674 --  Early works to 1800.",1
"Marguerite, --  Queen, consort of Henry II, King of Navarre, 1492-1549 --  Early works to 1800.",1
Familists --  Great Britain --  Apologetic works --  Early works to 1800.,1
Poor --  Great Britain --  Early works to 1800.,1
"Pride, Thomas, d. 1658 --  Early works to 1800.",1
"Scott, Thomas, d. 1660 --  Early works to 1800.",1
"Harrison, Thomas, 1606-1660 --  Early works to 1800.",1
"Political satire, England --  17th century.",1
Solar eclipses --  Early works to 1800.,1
Great Britain --  Foreign relations --  Netherlands --  1649-1660 --  Sources.,1
"Whitwell, Edmund --  Early works to 1800.",1
Basing House (England) --  History --  Early works to 1800.,1
Hampshire (England) --  History --  Early works to 1800.,1
"Kent, Henry Grey, --  Earl of, 1594-1651 --  Early works to 1800.",1
"Armstrong, John, d. 1528.",1
"Wild, Robert, 1609-1679. --  Humble thanks for His Majesties gracious declaration for liberty of conscience.",1
Civil rights --  England --  Sources --  Early works to 1800.,1
Westminster Confession of Faith --  Controversial literature --  Early works to 1800.,1
Fall of man --  Early works to 1800.,1
"Thomason, Elizabeth, d. 1659 --  Early works to 1800.",1
"Bible. --  N.T. --  John XX, 11-12 --  Sermons.",1
Alcoholics --  England --  Early works to 1800.,1
