subject_heading,frequency
Political ethics --  Early works to 1800.,15
Catholics --  England --  Controversial literature --  Early works to 1800.,15
Sabbath --  Early works to 1800.,15
Levellers --  Early works to 1800.,15
Plague --  Early works to 1800.,15
Society of Friends --  Controversial literature --  Early works to 1800.,15
"Popish Plot, 1678 --  Early works to 1800.",15
Witchcraft --  Early works to 1800.,15
Alchemy.,15
Creation --  Early works to 1800.,15
Church of England --  Government --  Early works to 1800.,15
Great Britain --  Kings and rulers --  Succession.,15
Presbyterianism.,15
Courts and courtiers --  Early works to 1800.,14
Bible --  Commentaries --  Early works to 1800.,14
Natural history --  Pre-Linnean works.,14
Jesuits --  Controversial literature.,14
Theology --  History --  17th century.,14
"Great Britain --  History --  Charles I, 1625-1649 --  Sources.",14
Society of Friends --  England.,14
Christian ethics --  Early works to 1800.,14
Great Britain --  Politics and government --  1649-1660.,14
Church of England --  Doctrines --  Early works to 1800.,14
Great Britain --  History --  Early works to 1800.,14
Grace (Theology) --  Early works to 1800.,14
Church of England. --  Book of common prayer.,14
Devil --  Early works to 1800.,14
Great Britain --  History --  To 1485 --  Early works to 1800.,13
Great Britain --  Commerce --  Early works to 1800.,13
"Thirty Years' War, 1618-1648 --  Early works to 1800.",13
Characters and characteristics --  Early works to 1800.,13
Philosophy --  Early works to 1800.,13
Plague --  England --  London --  Early works to 1800.,13
England --  Foreign relations --  Scotland --  Early works to 1800.,13
Scotland --  Foreign relations --  England --  Early works to 1800.,13
Health --  Early works to 1800.,13
Ephemerides --  Early works to 1800.,13
"Hymns, English.",13
"Great Britain --  History --  William and Mary, 1689-1702 --  Early works to 1800.",13
"Monmouth, James Scott, --  Duke of, 1649-1685.",13
Bible --  Prophecies.,13
Church history --  Early works to 1800.,13
"Great Britain --  History --  Restoration, 1660-1688 --  Early works to 1800.",13
"Great Britain --  History --  James II, 1685-1688.",13
Redemption --  Early works to 1800.,13
Great Britain --  Religion --  17th century --  Early works to 1800.,13
Judgment Day --  Early works to 1800.,13
Fast-day sermons.,13
Lord's Supper.,13
Socinianism.,13
Letter writing --  Early works to 1800.,12
Education of princes --  Early works to 1800.,12
Kings and rulers --  Early works to 1800.,12
Marprelate controversy --  Early works to 1800.,12
Rhetoric --  Early works to 1800.,12
Tithes --  Early works to 1800.,12
Women --  Conduct of life --  Early works to 1800.,12
Jesus Christ --  Early works to 1800.,12
"Political satire, English.",12
God --  Attributes --  Early works to 1800.,12
Monarchy --  Great Britain --  Early works to 1800.,12
Church of England --  Clergy --  Early works to 1800.,12
Antichrist --  Early works to 1800.,12
Church of England --  Customs and practices.,12
"Great Britain --  History --  James I, 1603-1625.",11
"Mary, --  Queen of Scots, 1542-1587.",11
Swearing --  Early works to 1800.,11
Death --  Religious aspects --  Christianity --  Early works to 1800.,11
Bible --  Chronology --  Early works to 1800.,11
Philosophy and religion --  Early works to 1800.,11
Church of England --  Apologetic works --  Early works to 1800.,11
Bible. --  N.T. --  Revelation --  Commentaries --  Early works to 1800.,11
"Netherlands --  History --  Wars of Independence, 1556-1648 --  Early works to 1800.",11
"Catechisms, English.",11
Protestantism --  Controversial literature.,11
Apocalyptic literature --  Early works to 1800.,11
Heaven --  Early works to 1800.,11
Chemistry --  Early works to 1800.,11
Scotland --  Church history --  17th century.,11
Great Britain --  Biography.,11
Anti-Catholicism --  Early works to 1800.,11
"Great Britain --  History --  Charles II, 1660-1685 --  Sources.",11
"Knowledge, Theory of --  Early works to 1800.",11
"Great Britain --  History --  James I, 1603-1625 --  Early works to 1800.",11
"Dissenters, Religious --  Great Britain.",11
Church of England --  History.,11
"Great Britain --  History --  Civil War, 1642-1649 --  Religious aspects --  Early works to 1800.",11
Ireland --  History --  1625-1649 --  Early works to 1800.,11
Charity --  Early works to 1800.,11
Monarchy --  Early works to 1800.,11
Visitation sermons.,11
Liberty of conscience --  Early works to 1800.,11
Atheism --  Early works to 1800.,11
"Elizabeth --  I, --  Queen of England, 1533-1603 --  Early works to 1800.",10
"Satire, English.",10
Familists --  Early works to 1800.,10
Executions and executioners --  England --  Early works to 1800.,10
God --  Worship and love --  Early works to 1800.,10
Theater --  Moral and ethical aspects.,10
Great Britain --  History --  Revolution of 1688.,10
Repentance.,10
Great Britain --  Politics and government --  1660-1688 --  Sources.,10
Church history.,10
"James --  II, --  King of England, 1633-1701 --  Early works to 1800.",10
Catholic Church --  England.,10
Great Britain --  Foreign relations --  Netherlands.,10
Immortality.,10
"Church history --  Primitive and early church, ca. 30-600.",10
Last words --  Early works to 1800.,10
Religion and politics --  England --  Early works to 1800.,10
Protestantism --  Early works to 1800.,10
Christian life --  Anglican authors.,10
Mathematics --  Early works to 1800.,10
"Scotland --  History --  Charles I, 1625-1649 --  Early works to 1800.",10
Great Britain --  Politics and government --  1660-1688 --  Early works to 1800.,10
Church polity.,10
"Baxter, Richard, 1615-1691.",10
Monarchy.,10
"Great Britain --  History --  Elizabeth, 1558-1603.",9
Surveying --  Early works to 1800.,9
Gout --  Early works to 1800.,9
Sunday --  Early works to 1800.,9
Sacraments --  Early works to 1800.,9
Death --  Religious aspects --  Early works to 1800.,9
Fortune-telling --  Early works to 1800.,9
"Bible. --  O.T. --  Psalms --  Paraphrases, English --  Early works to 1800.",9
Great Britain --  Politics and government --  1625-1649 --  Early works to 1800.,9
Great Britain --  Church history --  16th century.,9
Materia medica --  Early works to 1800.,9
"Prisoners' writings, English --  Early works to 1800.",9
Jesus Christ --  Passion --  Early works to 1800.,9
Arithmetic --  Early works to 1800.,9
Adultery --  Early works to 1800.,9
"Godfrey, Edmund Berry, --  Sir, 1621-1678.",9
"Mary, --  of Modena, Queen, consort of James II, King of England, 1658-1718.",9
"Gunpowder Plot, 1605.",9
Clergy --  England --  Early works to 1800.,9
"Theology, Doctrinal --  17th century.",9
Society of Friends.,9
Great Britain --  Church history.,9
"Louis --  XIV, --  King of France, 1638-1715.",9
Netherlands --  Foreign relations --  Great Britain.,9
Religious tolerance --  England --  Early works to 1800.,9
Ireland --  History --  Rebellion of 1641 --  Early works to 1800.,9
"Great Britain --  History --  Civil War, 1642-1649 --  Campaigns --  Early works to 1800.",9
Solemn League and Covenant (1643). --  Early works to 1800.,9
