TCP_name_heading,original_ids
"Thomas Hayne, 1582-1645","Hayne, Thomas, 1582-1645.; Hayne, Thomas, 1582-1645.; Hayne, Thomas, 1582-1645.; Hayne, Thomas, 1582-1645."
"Melchior Adam, died 1622","Adam, Melchior, d. 1622.; Adam, Melchior, d. 1622. Vitae germanorum theologorum.; Adam, Melchior, d. 1622."
"J. P. (John Perrot) J. P. (John Perrot), died 1671","J. P. (John Perrot), d. 1671?; J. P. (John Perrot), d. 1671?; J. P. (John Perrot), d. 1671?"
"Barton Barton, William","Barton, William"
"Thomas Stubbs, died 1673","Stubbs, Thomas, d. 1673."
"Benjamin Spencer, born 1595?","Spencer, Benjamin, b. 1595?; Spencer, Benjamin, b. 1595?; Spencer, Benjamin, b. 1595?"
"Benjamin Tompson, 1642-1714","Tompson, Benjamin, 1642-1714.; Tompson, Benjamin, 1642-1714."
"Richard Richardson, 1623?-1689","Richardson, Richard, 1623?-1689. Another ingredient against the venom in F.B.'s book.; Richardson, Richard, 1623?-1689.; Richardson, Richard, 1623?-1689."
"Sandilands Sandilands, Robert","Sandilands, Robert."
"Abraham Holland, died 1626","Holland, Abraham, d. 1626. London looke-backe.; Holland, Abraham, d. 1626. Naumachia. aut"
"Nicolas de Houssemaine, died 1523","Houssemaine, Nicolas de, d. 1523. Régime contre la peste."
"Thomas Phayer, 1510?-1560","Phayer, Thomas, 1510?-1560.; Phayer, Thomas, 1510?-1560.; Phayer, Thomas, 1510?-1560."
"Nicolas Boileau Despréaux, 1636-1711","Boileau Despréaux, Nicolas, 1636-1711. Satire contre les femmes. English.; Boileau Despréaux, Nicolas, 1636-1711. Satire à Monsieur M***, docteur en Sorbonne. English.; Boileau Despréaux, Nicolas, 1636-1711."
"John Tillinghast, 1604-1655","Tillinghast, John, 1604-1655.; Tillinghast, John, 1604-1655."
"Charles Dickesonn, engraver","Dickesonn, Charles, engraver."
"Thomas Kellie, Sir","Kellie, Thomas, Sir."
"Andrew Yarranton, 1616-1684","Yarranton, Andrew, 1616-1684."
"Robert West, born ca","West, Robert, b. ca. 1613.; West, Robert, b. ca. 1613.; West, Robert, b. ca. 1613.; West, Robert, b. ca. 1613."
"Richard Werge, 1624 or 5-1687","Werge, Richard, 1624 or 5-1687.; Werge, Richard, 1624 or 5-1687."
"Josias Shute, 1588-1643","Shute, Josias, 1588-1643."
V,V. N. V.; V. V. S.
"Edmund Waller, 1606-1687","Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687. Of divine love.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687.; Waller, Edmund, 1606-1687."
"John Whitlock, 1625-1709","Whitlock, John, 1625-1709.; Whitlock, John, 1625-1709."
"Christopher Simpson, died 1669","Simpson, Christopher, d. 1669."
"Theophilus Wodenote, died 1662","Wodenote, Theophilus, d. 1662."
"Robert Wild, 1609-1679","Wild, Robert, 1609-1679.; Wild, Robert, 1609-1679.; Wild, Robert, 1609-1679.; Wild, Robert, 1609-1679.; Wild, Robert, 1609-1679."
"Robert Wittie, 1613?-1684","Wittie, Robert, 1613?-1684.; Wittie, Robert, 1613?-1684."
"Gabriel Harvey, 1550?-1631","Harvey, Gabriel, 1550?-1631.; Harvey, Gabriel, 1550?-1631.; Harvey, Gabriel, 1550?-1631."
"John Payne, died 1647?, engraver","Payne, John, d. 1647?, engraver."
"La Serre, M. de (Jean-Puget) La Serre, M. de (Jean-Puget), circa 1600","La Serre, M. de (Jean-Puget), ca. 1600-1665.; La Serre, M. de (Jean-Puget), ca. 1600-1665.; La Serre, M. de (Jean-Puget), ca. 1600-1665.; La Serre, M. de (Jean-Puget), ca. 1600-1665."
"Cary, T. (Thomas) Cary, T. (Thomas), born 1605 or 6","Cary, T. (Thomas), b. 1605 or 6.; Cary, T. (Thomas), b. 1605 or 6."
"Trapnel Trapnel, Anna","Trapnel, Anna.; Trapnel, Anna."
"Thomas Salthouse, 1630-1691","Salthouse, Thomas, 1630-1691."
"D. B. (Daniel Baker) D. B. (Daniel Baker), active 1600","D. B. (Daniel Baker), fl. 1600-1660. aut"
"William Walker, 1623-1684","Walker, William, 1623-1684."
"Pope Urban VIII, 1568-1644","Urban VIII, Pope, 1568-1644.; Urban VIII, Pope, 1568-1644."
"Carlo Rossetti, 1615-1681","Rossetti, Carlo, 1615-1681."
"Antonio Barberini, 1607-1681","Barberini, Antonio, 1607-1681."
"Elijah Corlet, died 1687","Corlet, Elijah, d. 1687."
"Samuel Willard, 1640-1707","Willard, Samuel, 1640-1707.; Willard, Samuel, 1640-1707."
"John Whitefoote, 1610-1699","Whitefoote, John, 1610-1699."
"William Crashaw, 1572-1626","Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626. aut; Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626. Manuale Catholicorum. aut; Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626.; Crashaw, William, 1572-1626."
"Carolus Scribanius, 1561-1629","Scribanius, Carolus, 1561-1629."
"Whistler Whistler, Henry","Whistler, Henry."
"Philip Skippon, died 1660","Skippon, Philip, d. 1660.; Skippon, Philip, d. 1660."
"Nahum Tate, 1652-1715","Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715.; Tate, Nahum, 1652-1715."
"William Simpson, active 1635-1646, engraver","Simpson, William, fl. 1635-1646, engraver."
"Thomas Wadsworth, 1630-1676","Wadsworth, Thomas, 1630-1676."
"Patrick Galloway, circa 1551-circa 1626","Galloway, Patrick, ca. 1551-ca. 1626."
"William Walwyn, 1600-1681","Walwyn, William, 1600-1681.; Walwyn, William, 1600-1681.; Walwyn, William, 1600-1681."
"Innocent Gentillet, circa 1535-circa 1595","Gentillet, Innocent, ca. 1535-ca. 1595.; Gentillet, Innocent, ca. 1535-ca. 1595."
"Sir Bowes, Jerome, died 1616","Bowes, Jerome, Sir, d. 1616."
"Richard Wroe, 1641-1717","Wroe, Richard, 1641-1717."
"Shaw Shaw, S","Shaw, S. Elegy upon Sir Roger Bradshaigh."
"Ezerel Tonge, 1621-1680","Tonge, Ezerel, 1621-1680.; Tonge, Ezerel, 1621-1680.; Tonge, Ezerel, 1621-1680.; Tonge, Ezerel, 1621-1680. Jesuits assassins. Part 4. Selections."
"Richard Ward, 1601 or 2-1684","Ward, Richard, 1601 or 2-1684.; Ward, Richard, 1601 or 2-1684.; Ward, Richard, 1601 or 2-1684.; Ward, Richard, 1601 or 2-1684.; Ward, Richard, 1601 or 2-1684.; Ward, Richard, 1601 or 2-1684."
"R. T. (Rebecca Travers) R. T. (Rebecca Travers), 1609","R. T. (Rebecca Travers), 1609-1688."
"William Elder, active 1680-1700, engraver","Elder, William, fl. 1680-1700, engraver."
"Robert White, 1645-1703, engraver","White, Robert, 1645-1703, engraver.; White, Robert, 1645-1703, engraver."
"John Sturt, 1658-1730, engraver","Sturt, John, 1658-1730, engraver.; Sturt, John, 1658-1730, engraver."
"Thomas Weston, gent","Weston, Thomas, gent."
"Vincent Vincent, Humfrey","Vincent, Humfrey.; Vincent, Humfrey."
"George Fox, 1624-1691","Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691.; Fox, George, 1624-1691."
"Salt Salt, William","Salt, William."
"Joseph Hall, 1574-1656","Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656. Via media.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656.; Hall, Joseph, 1574-1656."
Lo,"Lo., Ro."
"Nathaniel Fiennes, 1607 or 8-1669","Fiennes, Nathaniel, 1607 or 8-1669."
"Joshua Sprigg, 1618-1684","Sprigg, Joshua, 1618-1684.; Sprigg, Joshua, 1618-1684."
"Thomas Willis, 1582-1666","Willis, Thomas, 1582-1666."
"Shackerley Marmion, 1603-1639","Marmion, Shackerley, 1603-1639.; Marmion, Shackerley, 1603-1639.; Marmion, Shackerley, 1603-1639. Fine companion.; Marmion, Shackerley, 1603-1639. Fine companion.; Marmion, Shackerley, 1603-1639.; Marmion, Shackerley, 1603-1639."
"Hilder Hilder, Thomas","Hilder, Thomas."
"William Howell, 1631 or 2-1683","Howell, William, 1631 or 2-1683."
"Wallim Wallim, J","Wallim, J. Life of Homer."
"Thomas Hobbes, 1588-1679","Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679.; Hobbes, Thomas, 1588-1679. Answer of Mr. Hobbs to Sr. William D'Avenant's preface before Gondibert."
"Howet Howet, Enoch","Howet, Enoch."
"Solomon Eccles, 1618-1683","Eccles, Solomon, 1618-1683."
"Greenway Greenway, R","Greenway, R. (Richard)"
"Baron Coleraine, Hugh Hare, 1606?-1667","Coleraine, Hugh Hare, Baron, 1606?-1667."
"Giovanni Francesco Loredano, 1607-1661","Loredano, Giovanni Francesco, 1607-1661.; Loredano, Giovanni Francesco, 1607-1661."
"Edward Wettenhall, 1636-1713","Wettenhall, Edward, 1636-1713.; Wettenhall, Edward, 1636-1713.; Wettenhall, Edward, 1636-1713.; Wettenhall, Edward, 1636-1713.; Wettenhall, Edward, 1636-1713."
Juvenal,Juvenal.; Juvenal.; Juvenal. Satura 5. English.; Juvenal. Satura 1. English.; Juvenal.; Juvenal.; Juvenal. Satira 10. English and Latin.; Juvenal.; Juvenal.; Juvenal. Satura 1-2. English.
"Charles Hotham, 1615-1672","Hotham, Charles, 1615-1672."
"Durant Hotham, 1617?-1691","Hotham, Durant, 1617?-1691.; Hotham, Durant, 1617?-1691.; Hotham, Durant, 1617?-1691."
"George Lauder, born ca","Lauder, George, b. ca. 1600.; Lauder, George, b. ca. 1600.; Lauder, George, b. ca. 1600."
"Vavasor Powell, 1617-1670","Powell, Vavasor, 1617-1670.; Powell, Vavasor, 1617-1670.; Powell, Vavasor, 1617-1670.; Powell, Vavasor, 1617-1670.; Powell, Vavasor, 1617-1670.; Powell, Vavasor, 1617-1670."
"Sir Smythe, James, 1642-1706","Smythe, James, Sir, 1642-1706."
"John Horn, 1614-1676","Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676.; Horn, John, 1614-1676."
"Richard Langhorne, 1654-1679","Langhorne, Richard, 1654-1679."
"J. G. (John Gough) J. G. (John Gough), active 1640","J. G. (John Gough), fl. 1640.; J. G. (John Gough), fl. 1640."
"Hezekiah Holland, active 1638-1661","Holland, Hezekiah, fl. 1638-1661.; Holland, Hezekiah, fl. 1638-1661."
"John Greene, active 1641","Greene, John, fl. 1641."
"Joseph Henshaw, 1603-1679","Henshaw, Joseph, 1603-1679.; Henshaw, Joseph, 1603-1679.; Henshaw, Joseph, 1603-1679."
Persius,Persius. Works. English. aut; Persius. Works. Satire 1. English.; Persius. Works. English.
"Barten Holyday, 1593-1661","Holyday, Barten, 1593-1661.; Holyday, Barten, 1593-1661.; Holyday, Barten, 1593-1661.; Holyday, Barten, 1593-1661."
"T. H., Sir (Thomas Hawkins) T. H., Sir (Thomas Hawkins), died 1640","T. H., Sir (Thomas Hawkins), d. 1640.; T. H., Sir (Thomas Hawkins), d. 1640."
"Sir Janson, Henry, 1616 or 17-circa 1684","Janson, Henry, Sir, 1616 or 17-ca. 1684."
"John Heydon, born 1629","Heydon, John, b. 1629.; Heydon, John, b. 1629.; Heydon, John, b. 1629.; Heydon, John, b. 1629."
"Sir Coventry, William, 1628?-1686, attributed name","Coventry, William, Sir, 1628?-1686, attributed name."
"Sir Trevor, John, 1626-1672, attributed name","Trevor, John, Sir, 1626-1672, attributed name."
"baron de Lisola, François Paul, 1613-1674, attributed name","Lisola, François Paul, baron de, 1613-1674, attributed name."
True lover of his country,True lover of his country.
"Walter Franke, 17th cent","Franke, Walter, 17th cent."
"Thomas Laurence, 1645?-1714","Laurence, Thomas, 1645?-1714. Verses spoken to the King, Qveen, and Dutchesse of Yorke."
"Thomas Ireland, Sir","Ireland, Thomas, Sir.; Ireland, Thomas, Sir.; Ireland, Thomas, Sir.; Ireland, Thomas, Sir."
"Viscount Preston, Richard Graham, 1648-1695","Preston, Richard Graham, Viscount, 1648-1695.; Preston, Richard Graham, Viscount, 1648-1695."
"William Godman, born 1625","Godman, William, b. 1625."
"Thomas Greene, 1634?-1699","Greene, Thomas, 1634?-1699.; Greene, Thomas, 1634?-1699.; Greene, Thomas, 1634?-1699."
"Thomas Jones, of Hereford","Jones, Thomas, of Hereford.; Jones, Thomas, of Hereford."
"Edward Gee, 1657-1730","Gee, Edward, 1657-1730."
"William Joyner, 1622-1706","Joyner, William, 1622-1706."
"John Hammat, born 1657 or 8","Hammat, John, b. 1657 or 8."
"Herman Hugo, 1588-1629","Hugo, Herman, 1588-1629.; Hugo, Herman, 1588-1629."
"Edmund Arwaker, died 1730","Arwaker, Edmund, d. 1730."
"John Sturt, 1658-1730","Sturt, John, 1658-1730."
"James Heath, 1629-1664","Heath, James, 1629-1664.; Heath, James, 1629-1664.; Heath, James, 1629-1664.; Heath, James, 1629-1664."
"Arkenstall Arkenstall, Thomas","Arkenstall, Thomas."
"George Kendall, clerk of the survey at Deptford","Kendall, George, clerk of the survey at Deptford."
"William Gibson, 1629-1684","Gibson, William, 1629-1684."
"Richard Head, 1637?-1686?","Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?; Head, Richard, 1637?-1686?"
"Thomas Moore, Junior","Moore, Thomas, Junior.; Moore, Thomas, Junior."
"Nathaniel Morton, 1613-1685","Morton, Nathaniel, 1613-1685."
"Sir Moore, Jonas, 1617-1679","Moore, Jonas, Sir, 1617-1679."
"John Oldham, 1653-1683","Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683.; Oldham, John, 1653-1683."
"Nicholas Murford, active 1638-1652","Murford, Nicholas, fl. 1638-1652."
"Prier Prier, Robert","Prier, Robert."
"Mullinax Mullinax, John","Mullinax, John."
"Pierson Pierson, David","Pierson, David.; Pierson, David."
"Edward Palmer, 1646 or 7-1670","Palmer, Edward, 1646 or 7-1670."
"Minshull Minshull, Richard","Minshull, Richard."
"M. M. (Matthew Mainwaring) M. M. (Matthew Mainwaring), 1561","M. M. (Matthew Mainwaring), 1561-1652.; M. M. (Matthew Mainwaring), 1561-1652."
"Sir Parsons, John, 1656?-1704","Parsons, John, Sir, 1656?-1704."
"M. P. (Martin Parker) M. P. (Martin Parker), died 1656","M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?; M. P. (Martin Parker), d. 1656?"
"Nathanael Richards, circa 1600-1652","Richards, Nathanael, ca. 1600-1652.; Richards, Nathanael, ca. 1600-1652.; Richards, Nathanael, ca. 1600-1652."
"Georges Pellisson, died 1677","Pellisson, Georges, d. 1677."
"Paul Pellisson-Fontanier, 1624-1693","Pellisson-Fontanier, Paul, 1624-1693.; Pellisson-Fontanier, Paul, 1624-1693. Discours sur les oeuvres de M. Sarasin. English.; Pellisson-Fontanier, Paul, 1624-1693."
"Some Some, Henry","Some, Henry.; Some, Henry."
"Thoms Thoms, Samuel","Thoms, Samuel."
"Revett Revett, Eldred","Revett, Eldred. Poems divine.; Revett, Eldred."
"Bruno Ryves, 1596-1677","Ryves, Bruno, 1596-1677.; Ryves, Bruno, 1596-1677.; Ryves, Bruno, 1596-1677."
"Pierre Corneille, 1606-1684","Corneille, Pierre, 1606-1684. Mort de Pompée. English.; Corneille, Pierre, 1606-1684. Horace. English.; Corneille, Pierre, 1606-1684.; Corneille, Pierre, 1606-1684.; Corneille, Pierre, 1606-1684."
"Katherine Philips, 1631-1664","Philips, Katherine, 1631-1664.; Philips, Katherine, 1631-1664."
"Henry Oxinden, 1609-1670","Oxinden, Henry, 1609-1670."
"Samuel Shaw, 1635-1696","Shaw, Samuel, 1635-1696.; Shaw, Samuel, 1635-1696.; Shaw, Samuel, 1635-1696."
"Richard Perrinchief, 1623?-1673","Perrinchief, Richard, 1623?-1673.; Perrinchief, Richard, 1623?-1673.; Perrinchief, Richard, 1623?-1673."
"Massingberd Massingberd, Henry","Massingberd, Henry."
"Thomas Cross, active 1632-1682, engraver","Cross, Thomas, fl. 1632-1682, engraver.; Cross, Thomas, fl. 1632-1682, engraver.; Cross, Thomas, fl. 1632-1682, engraver.; Cross, Thomas, fl. 1632-1682, engraver.; Cross, Thomas, fl. 1632-1682, engraver.; Cross, Thomas, fl. 1632-1682, engraver."
"Thomas Mocket, 1602-1670?","Mocket, Thomas, 1602-1670?"
"Philip Ayres, 1638-1712","Ayres, Philip, 1638-1712.; Ayres, Philip, 1638-1712.; Ayres, Philip, 1638-1712.; Ayres, Philip, 1638-1712.; Ayres, Philip, 1638-1712.; Ayres, Philip, 1638-1712."
"Charles Cotton, 1630-1687","Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687.; Cotton, Charles, 1630-1687."
R. M. (R. Monsey),R. M. (R. Monsey)
"Daniel King, died 1664?, engr","King, Daniel, d. 1664?, engr."
"Edward Manlove, active 1667","Manlove, Edward, fl. 1667."
"Thomas Carre, 1599-1674","Carre, Thomas, 1599-1674.; Carre, Thomas, 1599-1674.; Carre, Thomas, 1599-1674. Pietas Parisiensis.; Carre, Thomas, 1599-1674.; Carre, Thomas, 1599-1674."
"George Meriton, 1634-1711","Meriton, George, 1634-1711.; Meriton, George, 1634-1711.; Meriton, George, 1634-1711."
"Richard Peers, 1645-1690","Peers, Richard, 1645-1690."
"Thomas Pittis, 1636-1687","Pittis, Thomas, 1636-1687."
"Musaeus Musaeus, Grammaticus","Musaeus, Grammaticus. Hero and Leander. English.; Musaeus, Grammaticus.; Musaeus, Grammaticus.; Musaeus, Grammaticus."
"Thomas Hoy, 1659-1718?","Hoy, Thomas, 1659-1718?; Hoy, Thomas, 1659-1718?"
"Richard Mayo, 1631?-1695","Mayo, Richard, 1631?-1695."
"Robert Marriott, 1608?-1689","Marriott, Robert, 1608?-1689."
Person of honour,Person of honour.; Person of honour.; Person of honour.; Person of honour.
"William Sheppard, died 1675?","Sheppard, William, d. 1675?"
"Earl of Salisbury, James Cecil, died 1683","Salisbury, James Cecil, Earl of, d. 1683.; Salisbury, James Cecil, Earl of, d. 1683."
"Baron Wharton, Philip Wharton, 1613-1696","Wharton, Philip Wharton, Baron, 1613-1696.; Wharton, Philip Wharton, Baron, 1613-1696."
"Duke of Buckingham, George Villiers, 1628-1687","Buckingham, George Villiers, Duke of, 1628-1687.; Buckingham, George Villiers, Duke of, 1628-1687.; Buckingham, George Villiers, Duke of, 1628-1687.; Buckingham, George Villiers, Duke of, 1628-1687.; Buckingham, George Villiers, Duke of, 1628-1687.; Buckingham, George Villiers, Duke of, 1628-1687."
"Earl of Shaftesbury, Anthony Ashley Cooper, 1621-1683","Shaftesbury, Anthony Ashley Cooper, Earl of, 1621-1683.; Shaftesbury, Anthony Ashley Cooper, Earl of, 1621-1683."
"William Mercer, 1605?-1676?","Mercer, William, 1605?-1676?; Mercer, William, 1605?-1676?"
"Abraham Markland, 1645-1728","Markland, Abraham, 1645-1728."
"George Wateson, active 1598-1607","Wateson, George, fl. 1598-1607."
"Richard Turner, poet","Turner, Richard, poet."
"John White, 1570-1615","White, John, 1570-1615.; White, John, 1570-1615."
"Sutcliffe Sutcliffe, Alice","Sutcliffe, Alice."
"King of Spain Philip, II, 1578-1621","Philip, II, King of Spain, 1578-1621."
"Holy Roman Emperor Matthias, 1557-1619","Matthias, Holy Roman Emperor, 1557-1619."
"Pope Paul V, 1552-1621","Paul V, Pope, 1552-1621.; Paul V, Pope, 1552-1621.; Paul V, Pope, 1552-1621."
"Sym Sym, John","Sym, John."
"Francis White, 1564?-1638","White, Francis, 1564?-1638.; White, Francis, 1564?-1638."
"David Browne, active 1622-1638","Browne, David, fl. 1622-1638.; Browne, David, fl. 1622-1638."
"Thomas Tymme, died 1620","Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620.; Tymme, Thomas, d. 1620."
"Edward Bulkley, died 1621?","Bulkley, Edward, d. 1621?; Bulkley, Edward, d. 1621?"
"Thomas Wright, died 1624","Wright, Thomas, d. 1624. Certaine articles or forcible reasons.; Wright, Thomas, d. 1624.; Wright, Thomas, d. 1624. Succinct philosophicall declaration of the nature of clymactericall yeeres, occasioned by the death of Queene Elizabeth. aut; Wright, Thomas, d. 1624. Certaine articles or forcible reasons.; Wright, Thomas, d. 1624.; Wright, Thomas, d. 1624. Certaine articles or forcible reasons."
"Barret Barret, William","Barret, William."
"Scot Scot, Patrick","Scot, Patrick.; Scot, Patrick.; Scot, Patrick.; Scot, Patrick."
"Robert Pricke, died ca","Pricke, Robert, d. ca. 1608."
"Robert Allen, active 1596-1612","Allen, Robert, fl. 1596-1612.; Allen, Robert, fl. 1596-1612."
"John Chardon, died 1601","Chardon, John, d. 1601.; Chardon, John, d. 1601.; Chardon, John, d. 1601."
"Anthony Tyrrell, 1552-1610?","Tyrrell, Anthony, 1552-1610? Recantation or abjuration of Anthonie Tyrrell.; Tyrrell, Anthony, 1552-1610? aut; Tyrrell, Anthony, 1552-1610?"
"Tedder Tedder, William","Tedder, William.; Tedder, William.; Tedder, William."
"R. V. (Richard Vennard) R. V. (Richard Vennard), died 1615","R. V. (Richard Vennard), d. 1615?; R. V. (Richard Vennard), d. 1615?"
"Cornelius van Dalen, engraver","Dalen, Cornelius van, engraver.; Dalen, Cornelius van, engraver.; Dalen, Cornelius van, engraver.; Dalen, Cornelius van, engraver."
"Nathaneel Whiting, 1617?-1682","Whiting, Nathaneel, 1617?-1682.; Whiting, Nathaneel, 1617?-1682.; Whiting, Nathaneel, 1617?-1682.; Whiting, Nathaneel, 1617?-1682."
"Willis Willis, R","Willis, R., b. 1563 or 4."
"John Bishop, died 1613","Bishop, John, d. 1613."
"Carolus Sribanius, 1561-1629","Sribanius, Carolus, 1561-1629."
"Thomas Sampson, poet","Sampson, Thomas, poet."
"John Carpenter, died 1621","Carpenter, John, d. 1621.; Carpenter, John, d. 1621.; Carpenter, John, d. 1621.; Carpenter, John, d. 1621.; Carpenter, John, d. 1621.; Carpenter, John, d. 1621.; Carpenter, John, d. 1621."
"Patrick Anderson, 1575-1624","Anderson, Patrick, 1575-1624.; Anderson, Patrick, 1575-1624.; Anderson, Patrick, 1575-1624."
"James Caldwell, 1580?-1616","Caldwell, James, 1580?-1616."
"Lawrence Anderton, attributed name","Anderton, Lawrence, attributed name.; Anderton, Lawrence, attributed name.; Anderton, Lawrence, attributed name. aut; Anderton, Lawrence, attributed name."
"Nicholas Byfield, 1579-1622, attributed name","Byfield, Nicholas, 1579-1622, attributed name."
"Nicholas Breton, 1545?-1626?","Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626? I would, and would not. aut; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626? aut; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626? Good and the badde.; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?; Breton, Nicholas, 1545?-1626?"
