id,title,authors,publisher,pubplace,date,subject_heading
A56864,"Triumphant chastity, or, Josephs self-conflict when by his mistress he was inticed to adultery shewing the powerful motions betwixt the flesh and the spirit : a divine poem illustrated with several copper-plates and emblems suitable to the subject / by Jo. Quarles.","Quarles, John, 1624-1665.; Cats, Jacob, 1577-1660.",Printed for Benjamin Crayle,London,1684,
A58861,Homer A la Mode a mock poem upon the first and second books of Homer's Iliads.,"Scudamore, James, 1624-1668.; Scudamore, James, 1641 or 2-1666.",Printed by H H for Ric Davis,Oxford,1664,
A13060,"Diuine poemes In seuen seuerall classes. Written to his most excellent Maiestie Charles, by the grace of God King of Great Britaine, France, and Ireland, defender of the faith, &c. By Sr. Iohn Stradling Knight and Baronet.","Stradling, John, Sir, 1563-1637.",Printed by William Stansby,London,1625,
A25434,"Anglia rediviva, or, England revived an heroick poem.",Anonymous,s n,London,1658,
A61058,"Batt upon Batt a poem upon the parts, patience, and pains of Barth. Kempster, clerk, poet, cutler, of Holy-Rood-Parish in Southampton / by a person of quality; to which is annexed The vision, wherein is described Batts person and ingenuity ... by the same author ...","Speed, John, 1628-1711. Vision.; Speed, John, 1628-1711.",Printed for Samuel Crouch,London,1680,
A70762,"The illustrious wife: viz. that excellent poem, Sir Thomas Overburie's wife illustrated by Giles Oldisworth, nephew to the same Sir T.O.","Overbury, Thomas, Sir, 1581-1613. Sir Thomas Overburie his wife. aut; Oldisworth, Giles, 1619-1678.",s n,London,1673,
A53540,"Windsor castle, in a monument to our late-sovereign K. Charles II of ever blessed memory a poem / by Tho. Otway.","Otway, Thomas, 1652-1685.",Printed for Charles Brome,London,1685,
A55479,"Mundorum explicatio, or, The explanation of an hieroglyphical figure wherein are couched the mysteries of the external, internal, and eternal worlds, shewing the true progress of a soul from the court of Babylon to the city of Jerusalem, from the Adamical fallen state to the regenerate and angelical : being a sacred poems / written by S.P., Armig.","Pordage, John, 1607-1681.; Pordage, Samuel, 1633-1691?",Printed by T R for Lodowick Lloyd,London,1661,
A50931,Paradise regain'd a poem in IV books : to which is added Samson Agonistes / the author John Milton.,"Milton, John, 1608-1674.; Milton, John, 1608-1674. Samson Agonistes.",Printed by J M for John Starkey,London,1671,
A50919,Paradise lost a poem written in ten books / by John Milton.,"Milton, John, 1608-1674.",Printed and are to be sold by Peter Parker and Robert Boulter and Matthias Walker,London,1667,
A53594,"Chaucer's ghoast, or, A piece of antiquity containing twelve pleasant fables of Ovid penn'd after the ancient manner of writing in England, which makes them prove mock-poems to the present poetry : with the history of Prince Corniger and his champion Sir Crucifrag, that run a tilt likewise at the present historiographers / by a lover of antiquity.","Ovid, 43 B. C.-17 or 18 A. D. Metamorphoses.; Gower, John, 1325?-1408. Confessio amantis.; Cotton, Charles, 1630-1687.; Lover of antiquity.",Printed by T Ratcliff N Thompson for Richard Mills,London,1672,
A44271,Homer's Odysses translated by Tho. Hobbes of Malmsbury ; with a large preface concerning the vertues of an heroique poem written by the translator.,"Hobbes, Thomas, 1588-1679.; Homer.",Printed by J C for W Crook,London,1675,
A02077,"The history of Arbasto King of Denmarke Describing the anatomy of fortune, his loue to faire Doralicia. Wherein gentlemen may finde pleasant conceits to purge melancholy, and perfect counsell to preuent mis-fortune. By Robert Green, Master of Art. Wherevnto is added a louely poem of Pyramus and Thisbe.","Greene, Robert, 1558?-1592.; Gale, Dunstan. Pyramus and Thisbe. aut",Printed by I B eale for Roger Iackson and are to be sold at his shop neere Fleet Conduit,London,1617,
A03250,"Troia Britanica: or, Great Britaines Troy A poem deuided into XVII. seuerall cantons, intermixed with many pleasant poeticall tales. Concluding with an vniuersall chronicle from the Creation, vntill these present times. Written by Tho: Heywood.","Heywood, Thomas, d. 1641.",Printed by W Iaggard,London,1609,
A13386,"Godfrey of Bulloigne, or The recouerie of Hierusalem An heroicall poeme written in Italian by Seig. Torquato Tasso, and translated into English by R.C. Esquire: and now the first part containing fiue cantos, imprinted in both languages.","Carew, Richard, 1555-1620.; Tasso, Torquato, 1544-1595.",Imprinted by Iohn Windet for Thomas Man dwelling in Pater noster Row,London,1594,
A37179,Gondibert an heroick poem / written by Sir William D'Avenant.,"Hobbes, Thomas, 1588-1679.; D'Avenant, William, Sir, 1606-1668.",Printed for John Holden,London,1651,
A36673,"Religio laici, or, A laymans faith a poem.","Dryden, John, 1631-1700.",Printed for Jacob Tonson,London,1682,
A37178,"A discourse upon Gondibert an heroick poem / written by Sr. William D'Avenant ; with an answer to it, by Mr. Hobbs.","Hobbes, Thomas, 1588-1679. Answer of Mr. Hobbs to Sr. William D'Avenant's preface before Gondibert.; Cowley, Abraham, 1618-1667.; Waller, Edmund, 1606-1687.; D'Avenant, William, Sir, 1606-1668.",Chez Matthieu Guillemot,A Paris,1650,
A32903,"The Lusiad, or, Portugals historicall poem written in the Portingall language by Luis de Camoens ; and now newly put into English by Richard Fanshaw, Esq.","Fanshawe, Richard, Sir, 1608-1666.; Camões, Luís de, 1524?-1580.; Petronius Arbiter. Satyricon CXIX-CXXIV. English & Latin.",Printed for Humphrey Moseley,London,1655,
A35069,"Poems by Hugh Crompton, the son of Bacchus, and god-son of Apollo being a fardle of fancies, or a medley of musick, stewed in four ounces of the oyl of epigrams.","Crompton, Hugh, fl. 1657.",Printed for E C for Tho Alsop,London,1657,
A31613,Pharonnida a heroick poem / by William Chamberlayne ...,"Chamberlayne, William, 1619-1689.",Printed for Robert Clavell,London,1659,
A37007,"The progress of honesty, or, A view of a court and city a pindarique poem / by T. D.","D'Urfey, Thomas, 1653-1723.",Printed for Joseph Hindmarsh,London,1681,
A30820,"The heroical lover, or, Antheon and Fidelta a poem / written by Thomas Bancroft.","Bancroft, Thomas, fl. 1633-1658.",Printed by William Godbid,London,1658,
A36627,"The hind and the panther a poem, in three parts.","Dryden, John, 1631-1700.",Printed for Jacob Tonson,London,1687,
A29659,The remains of Sir Fulk Grevill Lord Brooke being poems of monarchy and religion : never before printed.,"Greville, Fulke, Baron Brooke, 1554-1628.",Printed by T N for Henry Herringman,London,1670,
A29623,Songs and other poems by Alex. Brome ...,"Brome, Alexander, 1620-1666.",Printed for Henry Brome,London,1664,
